epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.09590833675306774,0.10937395776833607,0.7209876543209877,0.7211993366824367,0.6877637130801688,0.806930693069307,0.806930693069307,0.7425968109339408,0.44220995283191344,0.6354679802955665,0.7678571428571429,0.6877637130801688,0.4489610921049115,0.8210018046139591,0.8173108680529797,0.09590833675306774,405,202,203,0.49876543209876545,0.7843137254901961,0.7306818181818182,0.5,0.6363636363636364,0.6363636363636364,0.56,0.41985522233712513,0.825,0.8918918918918919,0.5,0.4252113219384784,0.7789772727272728,0.5313505072752526,0.10937395776833607,102,22,80,0.21568627450980393
2,1,0.060119530054145706,0.15072606485207607,0.8518518518518519,0.8442420152946468,0.8565573770491803,0.8931623931623932,0.8931623931623932,0.8744769874476988,0.6939469508048062,0.7953216374269005,0.84472049689441,0.8565573770491803,0.6948515073134501,0.9171290048483032,0.9335375884785618,0.060119530054145706,405,234,171,0.5777777777777777,0.6666666666666666,0.7215909090909092,0.375,0.8181818181818182,0.8181818181818182,0.5142857142857142,0.31026252983293556,0.625,0.9259259259259259,0.375,0.3651915921675895,0.7630681818181818,0.49827279883168135,0.15072606485207607,102,22,80,0.21568627450980393
3,1,0.06335074526288079,0.1194335694067566,0.8296296296296296,0.8276556776556776,0.8078602620087336,0.8809523809523809,0.8809523809523809,0.8428246013667426,0.6575997059364087,0.7743589743589744,0.8579545454545454,0.8078602620087336,0.6605422044541367,0.9211477411477411,0.9116215780363734,0.06335074526288079,405,210,195,0.5185185185185185,0.6862745098039216,0.6846590909090908,0.375,0.6818181818181818,0.6818181818181818,0.4838709677419355,0.28483786152497803,0.6875,0.8870967741935484,0.375,0.3111223298086652,0.7375,0.46153080346009673,0.1194335694067566,102,22,80,0.21568627450980393
4,1,0.05340183065478876,0.1382371380716426,0.8641975308641975,0.8606569450581824,0.853448275862069,0.9041095890410958,0.9041095890410958,0.8780487804878049,0.7251323436863732,0.8172043010752689,0.8786127167630058,0.853448275862069,0.7266675735113272,0.934600088378259,0.9272606784272797,0.05340183065478875,405,219,186,0.5407407407407407,0.6764705882352942,0.678409090909091,0.36585365853658536,0.6818181818181818,0.6818181818181818,0.47619047619047616,0.27174383383816525,0.675,0.8852459016393442,0.36585365853658536,0.2993273935297609,0.7630681818181818,0.5028802487389883,0.1382371380716426,102,22,80,0.21568627450980393
5,1,0.03870894157824181,0.1851951852565032,0.8864197530864197,0.8832387336693253,0.8589743589743589,0.9392523364485982,0.9392523364485982,0.8973214285714286,0.770814880425155,0.8272251308900523,0.9239766081871345,0.8589743589743589,0.7746704295119884,0.9589470078778686,0.9581011012083088,0.03870894157824181,405,214,191,0.528395061728395,0.7647058823529411,0.6357954545454546,0.45,0.4090909090909091,0.4090909090909091,0.42857142857142855,0.28084606345475915,0.8625,0.8414634146341463,0.45,0.2813517615854366,0.7272727272727273,0.48846264795864325,0.1851951852565032,102,22,80,0.21568627450980393
6,1,0.028908716853689793,0.21359608097259283,0.9160493827160494,0.9162558570870754,0.9054726368159204,0.9238578680203046,0.9238578680203046,0.914572864321608,0.8320649787794526,0.9086538461538461,0.9264705882352942,0.9054726368159204,0.8322274210712827,0.9736187036313939,0.9681885381096826,0.028908716853689793,405,197,208,0.48641975308641977,0.7843137254901961,0.7142045454545455,0.5,0.5909090909090909,0.5909090909090909,0.5416666666666666,0.4019189765458422,0.8375,0.881578947368421,0.5,0.40431657145379674,0.7738636363636364,0.521916454745448,0.21359608097259283,102,22,80,0.21568627450980393
7,1,0.018198489719101978,0.2916149608767306,0.9432098765432099,0.9429878048780488,0.9292452830188679,0.9609756097560975,0.9609756097560975,0.9448441247002398,0.886353931556152,0.925,0.9585492227979274,0.9292452830188679,0.8868845914938135,0.9886829268292683,0.988294966187365,0.018198489719101978,405,205,200,0.5061728395061729,0.8137254901960784,0.7329545454545454,0.5652173913043478,0.5909090909090909,0.5909090909090909,0.5777777777777777,0.45835662381218556,0.875,0.8860759493670886,0.5652173913043478,0.45854298608260885,0.76875,0.5238410246735169,0.29161496087673067,102,22,80,0.21568627450980393
8,1,0.021081907505524394,0.2539769353075324,0.9481481481481482,0.9481097560975609,0.9466019417475728,0.9512195121951219,0.9512195121951219,0.948905109489051,0.8962741630587231,0.945,0.949748743718593,0.9466019417475728,0.8962850964309572,0.9884878048780488,0.9877249178028681,0.021081907505524404,405,205,200,0.5061728395061729,0.7941176470588235,0.7039772727272727,0.5217391304347826,0.5454545454545454,0.5454545454545454,0.5333333333333333,0.40134153158188934,0.8625,0.8734177215189873,0.5217391304347826,0.40150471220404044,0.7670454545454545,0.5463655081956651,0.2539769353075324,102,22,80,0.21568627450980393
9,1,0.020113799584466716,0.2935039548506476,0.9728395061728395,0.9726109507266233,0.9736842105263158,0.9685863874345549,0.9685863874345549,0.9711286089238845,0.9454879167941267,0.9766355140186916,0.9720930232558139,0.9736842105263158,0.9454995268463842,0.9930762832118216,0.9935619930717933,0.020113799584466716,405,191,214,0.47160493827160493,0.803921568627451,0.7267045454545455,0.5416666666666666,0.5909090909090909,0.5909090909090909,0.5652173913043478,0.4389438943894389,0.8625,0.8846153846153846,0.5416666666666666,0.43963639219547934,0.7920454545454545,0.5438943576140401,0.2935039548506477,102,22,80,0.21568627450980393
10,1,0.02366616970658891,0.25750632100183385,0.9506172839506173,0.9507326007326007,0.9441624365482234,0.9538461538461539,0.9538461538461539,0.9489795918367347,0.9011351153423655,0.9476190476190476,0.9567307692307693,0.9441624365482234,0.9011791582400198,0.9892307692307691,0.986972454568017,0.0236661697065889,405,195,210,0.48148148148148145,0.7843137254901961,0.7142045454545455,0.5,0.5909090909090909,0.5909090909090909,0.5416666666666666,0.4019189765458422,0.8375,0.881578947368421,0.5,0.40431657145379674,0.7710227272727272,0.5627933151582173,0.2575063210018339,102,22,80,0.21568627450980393
