epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.3729654402812426,0.10106803423154088,0.7308641975308642,0.7284697769953051,0.7318435754189944,0.6822916666666666,0.6822916666666666,0.706199460916442,0.45846980458543407,0.7746478873239436,0.7300884955752213,0.7318435754189944,0.45942903096567145,0.8106416275430361,0.7849058436230073,0.3729654402812426,405,192,213,0.4740740740740741,0.7058823529411765,0.7630681818181818,0.41304347826086957,0.8636363636363636,0.8636363636363636,0.5588235294117647,0.37703583061889245,0.6625,0.9464285714285714,0.41304347826086957,0.43489230511991434,0.7914772727272728,0.4723855843615824,0.10106803423154088,102,22,80,0.21568627450980393
2,1,0.2759573877221685,0.11799602766173024,0.8444444444444444,0.8443764327171633,0.8271028037383178,0.8719211822660099,0.8719211822660099,0.8489208633093526,0.6888452579846587,0.8168316831683168,0.8638743455497382,0.8271028037383178,0.689864110910106,0.9016485392381602,0.8773047791875688,0.2759573877221685,405,203,202,0.5012345679012346,0.696078431372549,0.7732954545454545,0.40816326530612246,0.9090909090909091,0.9090909090909091,0.5633802816901409,0.3782933543059378,0.6375,0.9622641509433962,0.40816326530612246,0.4499691747220258,0.7818181818181817,0.4914116836505615,0.11799602766173024,102,22,80,0.21568627450980393
3,1,0.2017045417534648,0.10147414109800454,0.8765432098765432,0.8770119988293825,0.8325991189427313,0.9402985074626866,0.9402985074626866,0.883177570093458,0.7533075067612016,0.8137254901960784,0.9325842696629213,0.8325991189427313,0.7595831999317221,0.9356160374597601,0.9176238091232464,0.2017045417534648,405,201,204,0.4962962962962963,0.7941176470588235,0.7863636363636364,0.5151515151515151,0.7727272727272727,0.7727272727272727,0.6181818181818182,0.48484848484848486,0.8,0.927536231884058,0.5151515151515151,0.5035269069567828,0.8045454545454546,0.5481385591624335,0.10147414109800454,102,22,80,0.21568627450980393
4,1,0.10944034526620318,0.1424130067103209,0.9185185185185185,0.9196428571428572,0.8939393939393939,0.9365079365079365,0.9365079365079365,0.9147286821705426,0.8367952522255193,0.9027777777777778,0.9420289855072463,0.8939393939393939,0.8376254046195976,0.973398001175779,0.9680769329540809,0.10944034526620317,405,189,216,0.4666666666666667,0.7156862745098039,0.7198863636363637,0.41025641025641024,0.7272727272727273,0.7272727272727273,0.5245901639344263,0.3435419440745673,0.7125,0.9047619047619048,0.41025641025641024,0.3722048676958209,0.7857954545454545,0.55285229765244,0.14241300671032087,102,22,80,0.21568627450980393
5,1,0.14550963165086991,0.16147535532587423,0.9234567901234568,0.923647363028736,0.9117647058823529,0.9346733668341709,0.9346733668341709,0.9230769230769231,0.8469331772795435,0.912621359223301,0.9353233830845771,0.9117647058823529,0.847191401212136,0.9619456505830122,0.9552143461436686,0.14550963165086991,405,199,206,0.49135802469135803,0.7450980392156863,0.7221590909090909,0.4411764705882353,0.6818181818181818,0.6818181818181818,0.5357142857142857,0.3709677419354839,0.7625,0.8970588235294118,0.4411764705882353,0.38766492091636423,0.7977272727272727,0.5531600109160024,0.1614753553258742,102,22,80,0.21568627450980393
6,1,0.12009215556210052,0.1512377199855456,0.9135802469135802,0.914021164021164,0.8969072164948454,0.9206349206349206,0.9206349206349206,0.9086161879895561,0.8266754704522945,0.9074074074074074,0.9289099526066351,0.8969072164948454,0.8269290001203942,0.9697481873407799,0.9569757782745643,0.12009215556210048,405,189,216,0.4666666666666667,0.7058823529411765,0.7136363636363636,0.4,0.7272727272727273,0.7272727272727273,0.5161290322580645,0.32953549517966696,0.7,0.9032258064516129,0.4,0.35994460310171733,0.8028409090909091,0.5308037176742255,0.1512377199855456,102,22,80,0.21568627450980393
7,1,0.1055929632854751,0.16567386832909403,0.928395061728395,0.9288414634146341,0.8976744186046511,0.965,0.965,0.9301204819277108,0.8568991775814804,0.8926829268292683,0.9631578947368421,0.8976744186046511,0.859256177176482,0.9763170731707317,0.9703204144793631,0.1055929632854751,405,200,205,0.49382716049382713,0.696078431372549,0.6909090909090909,0.38461538461538464,0.6818181818181818,0.6818181818181818,0.4918032786885246,0.2982689747003995,0.7,0.8888888888888888,0.38461538461538464,0.3231546138134259,0.7738636363636364,0.5167322140036569,0.16567386832909406,102,22,80,0.21568627450980393
8,1,0.09989455431225465,0.23425851518658106,0.9382716049382716,0.9417737409540687,0.895,0.9781420765027322,0.9781420765027322,0.9347258485639687,0.8763962644204358,0.9054054054054054,0.9804878048780488,0.895,0.8795084112396442,0.9782159208388717,0.9659863857020726,0.09989455431225462,405,183,222,0.45185185185185184,0.8137254901960784,0.7329545454545454,0.5652173913043478,0.5909090909090909,0.5909090909090909,0.5777777777777777,0.45835662381218556,0.875,0.8860759493670886,0.5652173913043478,0.45854298608260885,0.7875,0.5464145376298808,0.234258515186581,102,22,80,0.21568627450980393
9,1,0.05523109839856644,0.14593085375220097,0.9506172839506173,0.9525416104363473,0.9217877094972067,0.9649122807017544,0.9649122807017544,0.9428571428571428,0.8994188645507376,0.9401709401709402,0.9734513274336283,0.9217877094972067,0.9001476717718762,0.9924526415754485,0.9891346336588599,0.055231098398566436,405,171,234,0.4222222222222222,0.7352941176470589,0.7323863636363637,0.43243243243243246,0.7272727272727273,0.7272727272727273,0.5423728813559322,0.37266514806378137,0.7375,0.9076923076923077,0.43243243243243246,0.3975936406441922,0.8488636363636364,0.5835969999600225,0.14593085375220097,102,22,80,0.21568627450980393
10,1,0.03234134267325296,0.18245103845493915,0.9777777777777777,0.977758267486099,0.975609756097561,0.9803921568627451,0.9803921568627451,0.9779951100244498,0.9555514907627584,0.9751243781094527,0.98,0.975609756097561,0.9555631443980919,0.9968539654667837,0.996661115040671,0.032341342673252976,405,204,201,0.5037037037037037,0.7647058823529411,0.7346590909090909,0.46875,0.6818181818181818,0.6818181818181818,0.5555555555555556,0.4029268292682927,0.7875,0.9,0.46875,0.41600610517810255,0.8278409090909091,0.5773631137344906,0.18245103845493912,102,22,80,0.21568627450980393
11,1,0.046107065316262,0.19600377686945816,0.9679012345679012,0.9679909277143693,0.9563106796116505,0.9800995024875622,0.9800995024875622,0.9680589680589681,0.9358106872462602,0.9558823529411765,0.9798994974874372,0.9563106796116505,0.9360960093027167,0.9948053848405034,0.9948323802100971,0.046107065316262,405,201,204,0.4962962962962963,0.7058823529411765,0.7136363636363636,0.4,0.7272727272727273,0.7272727272727273,0.5161290322580645,0.32953549517966696,0.7,0.9032258064516129,0.4,0.35994460310171733,0.7863636363636364,0.5652109657694624,0.19600377686945825,102,22,80,0.21568627450980393
12,1,0.027812137642770712,0.21319071068980516,0.9777777777777777,0.9766165856532627,0.96875,0.9908675799086758,0.9908675799086758,0.9796839729119639,0.9551677059887089,0.9623655913978495,0.988950276243094,0.96875,0.9554641131326387,0.9980605882064123,0.9983779922755702,0.02781213764277072,405,219,186,0.5407407407407407,0.7156862745098039,0.6869318181818183,0.4,0.6363636363636364,0.6363636363636364,0.49122807017543857,0.30790828263921377,0.7375,0.8805970149253731,0.4,0.3238904449853091,0.8073863636363636,0.5817648957115014,0.21319071068980516,102,22,80,0.21568627450980393
13,1,0.027828032168048532,0.22599839222676585,0.9827160493827161,0.9833635073640945,0.9693877551020408,0.9947643979057592,0.9947643979057592,0.9819121447028424,0.9653689701085961,0.9719626168224299,0.9952153110047847,0.9693877551020408,0.9656644564729042,0.998165092723981,0.9979234796894231,0.02782803216804856,405,191,214,0.47160493827160493,0.7647058823529411,0.7346590909090909,0.46875,0.6818181818181818,0.6818181818181818,0.5555555555555556,0.4029268292682927,0.7875,0.9,0.46875,0.41600610517810255,0.8289772727272727,0.6109497546878013,0.22599839222676582,102,22,80,0.21568627450980393
