epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.07474116681166637,0.07703640089169436,0.5456790123456791,0.5,0.5456790123456791,1.0,1.0,0.7060702875399361,0.0,0.0,0.0,0.5456790123456791,0.0,0.4580710210505607,0.5264600594886459,0.07474116681166637,405,221,184,0.5456790123456791,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.6642045454545454,0.4260250724966948,0.07703640089169436,102,22,80,0.21568627450980393
2,1,0.06999699868905691,0.07584020838725801,0.5012345679012346,0.5,0.5012345679012346,1.0,1.0,0.6677631578947368,0.0,0.0,0.0,0.5012345679012346,0.0,0.6488806516119592,0.6648176507650938,0.06999699868905691,405,203,202,0.5012345679012346,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.7204545454545455,0.4845685659496365,0.07584020838725801,102,22,80,0.21568627450980393
3,1,0.06658931941621833,0.06867965780125529,0.5061728395061729,0.5,0.5061728395061729,1.0,1.0,0.6721311475409836,0.0,0.0,0.0,0.5061728395061729,0.0,0.7440975609756098,0.7564886934074602,0.06658931941621833,405,205,200,0.5061728395061729,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.7596590909090909,0.5199689224249938,0.06867965780125529,102,22,80,0.21568627450980393
4,1,0.06396316019473253,0.06808633839382845,0.5481481481481482,0.5004799881849062,0.5483870967741935,0.9954954954954955,0.9954954954954955,0.7072,0.0010513121183938212,0.00546448087431694,0.5,0.5483870967741935,0.006815458128919385,0.7407817653719293,0.7705534939867191,0.06396316019473253,405,222,183,0.5481481481481482,0.23529411764705882,0.5125,0.22,1.0,1.0,0.36065573770491804,0.010939830929885819,0.025,1.0,0.22,0.07416198487095663,0.7630681818181817,0.5322924016146668,0.06808633839382845,102,22,80,0.21568627450980393
5,1,0.06526870722020114,0.06847156699308578,0.5160493827160494,0.5051602986385595,0.513715710723192,0.9951690821256038,0.9951690821256038,0.6776315789473685,0.01054520978236484,0.015151515151515152,0.75,0.513715710723192,0.0521699496455889,0.7304201434636217,0.7259382867208384,0.06526870722020114,405,207,198,0.5111111111111111,0.2549019607843137,0.525,0.22448979591836735,1.0,1.0,0.36666666666666664,0.022199798183652808,0.05,1.0,0.22448979591836735,0.10594569267279519,0.7926136363636365,0.5460369045557304,0.06847156699308578,102,22,80,0.21568627450980393
6,1,0.061916462292917716,0.07096607784064961,0.5481481481481482,0.5162037037037037,0.5415617128463476,0.9953703703703703,0.9953703703703703,0.7014681892332789,0.0344706296166023,0.037037037037037035,0.875,0.5415617128463476,0.11618814543032797,0.7749853027630805,0.8037382650176405,0.061916462292917716,405,216,189,0.5333333333333333,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.033794162826421004,0.075,1.0,0.22916666666666666,0.13110110602126893,0.7909090909090909,0.5409116752625915,0.07096607784064961,102,22,80,0.21568627450980393
7,1,0.06029680763819703,0.06369185469606344,0.5506172839506173,0.5641172737037399,0.5188172043010753,0.9846938775510204,0.9846938775510204,0.6795774647887324,0.12475064120832147,0.14354066985645933,0.9090909090909091,0.5188172043010753,0.23424901974780948,0.8026071672688214,0.7826155683062004,0.06029680763819703,405,196,209,0.4839506172839506,0.4019607843137255,0.6022727272727273,0.25925925925925924,0.9545454545454546,0.9545454545454546,0.4077669902912621,0.10371650821089029,0.25,0.9523809523809523,0.25925925925925924,0.20806259464411975,0.8017045454545455,0.5419250760258164,0.06369185469606344,102,22,80,0.21568627450980393
8,1,0.055156958001999205,0.0795861792353475,0.6469135802469136,0.6207471320717717,0.6045197740112994,0.9861751152073732,0.9861751152073732,0.7495621716287215,0.25385537046341744,0.2553191489361702,0.9411764705882353,0.6045197740112994,0.3630186125193304,0.8440533385626041,0.8534245205702362,0.055156958001999205,405,217,188,0.5358024691358024,0.30392156862745096,0.55625,0.23655913978494625,1.0,1.0,0.3826086956521739,0.05184603299293,0.1125,1.0,0.23655913978494625,0.1631346168837456,0.7840909090909091,0.5233254633137303,0.0795861792353475,102,22,80,0.21568627450980393
9,1,0.05848349738854593,0.06857677107658602,0.6345679012345679,0.6303658536585366,0.5835777126099707,0.9707317073170731,0.9707317073170731,0.7289377289377289,0.26291195277914414,0.29,0.90625,0.5835777126099707,0.3573704181938039,0.7914390243902439,0.7790505463229052,0.05848349738854593,405,205,200,0.5061728395061729,0.39215686274509803,0.5795454545454546,0.25,0.9090909090909091,0.9090909090909091,0.39215686274509803,0.08134805345729224,0.25,0.9090909090909091,0.25,0.1590909090909091,0.7863636363636364,0.5173264004166999,0.06857677107658602,102,22,80,0.21568627450980393
10,1,0.05725442273197351,0.07118647380768522,0.6370370370370371,0.6262694072844449,0.5911764705882353,0.9617224880382775,0.9617224880382775,0.73224043715847,0.2578996572140855,0.29081632653061223,0.8769230769230769,0.5911764705882353,0.3438216177449296,0.8117615467239528,0.8072572813631341,0.05725442273197351,405,209,196,0.5160493827160494,0.3627450980392157,0.5772727272727273,0.24705882352941178,0.9545454545454546,0.9545454545454546,0.3925233644859813,0.07582938388625604,0.2,0.9411764705882353,0.24705882352941178,0.17056057308448833,0.803409090909091,0.5345980444299158,0.07118647380768522,102,22,80,0.21568627450980393
