epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.13939314134957867,0.11084152319331257,0.7209876543209877,0.7189284145805885,0.6942148760330579,0.8115942028985508,0.8115942028985508,0.7483296213808464,0.4395459054337044,0.6262626262626263,0.7607361963190185,0.6942148760330579,0.4463221190615107,0.7911969940955448,0.7821294749216667,0.13939314134957867,405,207,198,0.5111111111111111,0.6470588235294118,0.7090909090909091,0.36,0.8181818181818182,0.8181818181818182,0.5,0.2861586314152411,0.6,0.9230769230769231,0.36,0.34406049232311225,0.7789772727272728,0.511357865782467,0.11084152319331257,102,22,80,0.21568627450980393
2,1,0.06084664218757917,0.14042918830212076,0.8469135802469135,0.8447184475510803,0.8289473684210527,0.8915094339622641,0.8915094339622641,0.8590909090909091,0.6920076538121872,0.7979274611398963,0.8700564971751412,0.8289473684210527,0.6942038999897997,0.9238439730178903,0.9262907965624236,0.06084664218757917,405,212,193,0.5234567901234568,0.5490196078431373,0.6630681818181818,0.3064516129032258,0.8636363636363636,0.8636363636363636,0.4523809523809524,0.19657534246575337,0.4625,0.925,0.3064516129032258,0.27474494970795976,0.8017045454545454,0.5050339784463919,0.14042918830212076,102,22,80,0.21568627450980393
3,1,0.05787265452579354,0.09748246100956837,0.8641975308641975,0.8613923122065728,0.8405172413793104,0.9154929577464789,0.9154929577464789,0.8764044943820225,0.7263278168884302,0.8072916666666666,0.8959537572254336,0.8405172413793104,0.729595719640476,0.9361795774647887,0.936521909284727,0.05787265452579355,405,213,192,0.5259259259259259,0.7450980392156863,0.6727272727272727,0.42857142857142855,0.5454545454545454,0.5454545454545454,0.48,0.31437435367114785,0.8,0.8648648648648649,0.42857142857142855,0.3183848321903877,0.7869318181818181,0.4346863860238298,0.09748246100956837,102,22,80,0.21568627450980393
4,1,0.03387710778485469,0.09524396239690454,0.8888888888888888,0.888967468175389,0.8651162790697674,0.9207920792079208,0.9207920792079208,0.8920863309352518,0.7778116427918318,0.8571428571428571,0.9157894736842105,0.8651162790697674,0.7794189291161859,0.9651758279276204,0.9630666815994605,0.03387710778485469,405,202,203,0.49876543209876545,0.7843137254901961,0.7636363636363637,0.5,0.7272727272727273,0.7272727272727273,0.5925925925925926,0.45268292682926825,0.8,0.9142857142857143,0.5,0.4673773191347206,0.811931818181818,0.5179502698941246,0.09524396239690454,102,22,80,0.21568627450980393
5,1,0.022460429378796175,0.14762640530741106,0.9308641975308642,0.9308150026825343,0.9146919431279621,0.9507389162561576,0.9507389162561576,0.9323671497584541,0.8617140627286474,0.9108910891089109,0.9484536082474226,0.9146919431279621,0.8623874454457275,0.9802955665024631,0.9764381031470478,0.022460429378796182,405,203,202,0.5012345679012346,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.4191343963553531,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8056818181818182,0.5254137582375172,0.14762640530741106,102,22,80,0.21568627450980393
6,1,0.025277641248207246,0.1901666702271714,0.9555555555555556,0.9558536585365853,0.9333333333333333,0.98,0.98,0.9560975609756097,0.9111517367458867,0.9317073170731708,0.9794871794871794,0.9333333333333333,0.9122637451488169,0.9831951219512196,0.9784598934110101,0.025277641248207236,405,200,205,0.49382716049382713,0.7450980392156863,0.6892045454545455,0.43333333333333335,0.5909090909090909,0.5909090909090909,0.5,0.3343373493975904,0.7875,0.875,0.43333333333333335,0.3415788874676483,0.7528409090909091,0.49304264689729377,0.19016667022717143,102,22,80,0.21568627450980393
7,1,0.021213903002759917,0.2085927629135353,0.9604938271604938,0.9603048780487804,0.9478672985781991,0.975609756097561,0.975609756097561,0.9615384615384616,0.9209466878126144,0.945,0.9742268041237113,0.9478672985781991,0.9213516304795933,0.988390243902439,0.9875249711131073,0.021213903002759927,405,205,200,0.5061728395061729,0.803921568627451,0.69375,0.55,0.5,0.5,0.5238095238095238,0.40070505287896596,0.8875,0.8658536585365854,0.55,0.40142657196917947,0.76875,0.5046107455609373,0.20859276291353526,102,22,80,0.21568627450980393
8,1,0.013177254434299021,0.3000569963179613,0.9777777777777777,0.9767289857932123,0.973568281938326,0.9866071428571429,0.9866071428571429,0.9800443458980045,0.9549772106868909,0.9668508287292817,0.9831460674157303,0.973568281938326,0.9550847726368297,0.9955603788476717,0.9965049608179858,0.013177254434299028,405,224,181,0.5530864197530864,0.7647058823529411,0.602840909090909,0.4375,0.3181818181818182,0.3181818181818182,0.3684210526315789,0.2282471626733923,0.8875,0.8255813953488372,0.4375,0.23261784051348808,0.7920454545454546,0.5002295864981193,0.3000569963179613,102,22,80,0.21568627450980393
9,1,0.024074546884346237,0.2139313061625792,0.9654320987654321,0.9653048780487805,0.9569377990430622,0.975609756097561,0.975609756097561,0.966183574879227,0.9308367894608441,0.955,0.9744897959183674,0.9569377990430622,0.9310185857272634,0.9887073170731707,0.9883136011099332,0.024074546884346237,405,205,200,0.5061728395061729,0.7745098039215687,0.7079545454545455,0.48148148148148145,0.5909090909090909,0.5909090909090909,0.5306122448979592,0.38425196850393695,0.825,0.88,0.48148148148148145,0.3877414529598742,0.7460227272727273,0.48607110952143934,0.21393130616257916,102,22,80,0.21568627450980393
10,1,0.0069304363164955085,0.27324667533049596,0.9851851851851852,0.9846317488262911,0.9769585253456221,0.9953051643192489,0.9953051643192489,0.986046511627907,0.970259950066089,0.9739583333333334,0.9946808510638298,0.9769585253456221,0.9704507099464655,0.9971146322378717,0.9970006799098516,0.006930436316495507,405,213,192,0.5259259259259259,0.7843137254901961,0.7636363636363637,0.5,0.7272727272727273,0.7272727272727273,0.5925925925925926,0.45268292682926825,0.8,0.9142857142857143,0.5,0.4673773191347206,0.7357954545454546,0.5190165891451395,0.27324667533049596,102,22,80,0.21568627450980393
11,1,0.008399303738262911,0.3130666593717339,0.9753086419753086,0.9750451285553984,0.9622641509433962,0.9902912621359223,0.9902912621359223,0.9760765550239234,0.950577209381788,0.9597989949748744,0.9896373056994818,0.9622641509433962,0.9509954256914036,0.9964385031955897,0.9959073301529406,0.008399303738262911,405,206,199,0.508641975308642,0.7843137254901961,0.6153409090909091,0.5,0.3181818181818182,0.3181818181818182,0.3888888888888889,0.2657068062827225,0.9125,0.8295454545454546,0.5,0.275717508744184,0.7488636363636363,0.5058989110575036,0.31306665937173395,102,22,80,0.21568627450980393
12,1,0.005122085466669852,0.2998726546877646,0.9851851851851852,0.9858196882047259,0.9739583333333334,0.9946808510638298,0.9946808510638298,0.9842105263157894,0.970259950066089,0.9769585253456221,0.9953051643192489,0.9739583333333334,0.9704507099464655,0.9983331699186194,0.9979366939560195,0.00512208546666985,405,188,217,0.4641975308641975,0.7941176470588235,0.7204545454545455,0.52,0.5909090909090909,0.5909090909090909,0.5531914893617021,0.4201407688142935,0.85,0.8831168831168831,0.52,0.42158972765613156,0.7534090909090909,0.5344040436029107,0.2998726546877646,102,22,80,0.21568627450980393
