epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.4777559059813894,0.10166270937314074,0.5604938271604938,0.5590443016239023,0.5233160621761658,0.5401069518716578,0.5401069518716578,0.531578947368421,0.11781981937883934,0.5779816513761468,0.5943396226415094,0.5233160621761658,0.11787194528081392,0.6099200313987145,0.5793556277279752,0.4777559059813894,405,187,218,0.4617283950617284,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.005430757837571076,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.6630681818181818,0.41349219276482,0.10166270937314074,102,22,80,0.21568627450980393
2,1,0.43888470205984276,0.06194053884303453,0.5234567901234568,0.524400058530875,0.515748031496063,0.6517412935323383,0.6517412935323383,0.5758241758241758,0.048705684763956314,0.39705882352941174,0.5364238410596026,0.515748031496063,0.050457838717558934,0.5338503560628232,0.5167690445347196,0.43888470205984276,405,201,204,0.4962962962962963,0.4019607843137255,0.5528409090909091,0.24,0.8181818181818182,0.8181818181818182,0.3711340206185567,0.0564149226569608,0.2875,0.8518518518518519,0.24,0.09852446755537787,0.5903409090909091,0.35704488320810013,0.06194053884303453,102,22,80,0.21568627450980393
3,1,0.3753254260505653,0.0632899471640806,0.5530864197530864,0.543010752688172,0.5165562913907285,0.41935483870967744,0.41935483870967744,0.4629080118694362,0.08725860072466474,0.6666666666666666,0.5748031496062992,0.5165562913907285,0.08865030538529242,0.5801296214464575,0.5354333788165185,0.3753254260505653,405,186,219,0.45925925925925926,0.8137254901960784,0.6505681818181819,0.6153846153846154,0.36363636363636365,0.36363636363636365,0.45714285714285713,0.35356904603068706,0.9375,0.8426966292134831,0.6153846153846154,0.3714093701675969,0.6602272727272727,0.41263945454483,0.0632899471640806,102,22,80,0.21568627450980393
4,1,0.35275179991113415,0.07145814496542181,0.5950617283950618,0.589778668099868,0.6,0.4639175257731959,0.4639175257731959,0.5232558139534884,0.18121301775147935,0.7156398104265402,0.592156862745098,0.6,0.18575030122992567,0.6651927493037573,0.6475185379201691,0.35275179991113415,405,194,211,0.47901234567901235,0.7058823529411765,0.5818181818181818,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.34782608695652173,0.15841584158415845,0.8,0.8205128205128205,0.3333333333333333,0.15866576560438353,0.6363636363636365,0.3966026228227043,0.07145814496542181,102,22,80,0.21568627450980393
5,1,0.3452223768301803,0.07485185787235797,0.6271604938271605,0.627359410817929,0.6529411764705882,0.5467980295566502,0.5467980295566502,0.5951742627345844,0.2546163690657566,0.7079207920792079,0.6085106382978723,0.6529411764705882,0.2580633607709141,0.697166268350973,0.7100428816933839,0.3452223768301803,405,203,202,0.5012345679012346,0.6078431372549019,0.5852272727272727,0.2857142857142857,0.5454545454545454,0.5454545454545454,0.375,0.12820512820512808,0.625,0.8333333333333334,0.2857142857142857,0.1424507205745474,0.6642045454545454,0.4040199541421315,0.07485185787235797,102,22,80,0.21568627450980393
6,1,0.3518926494571717,0.07696839605967612,0.6493827160493827,0.635,0.6590038314176245,0.7644444444444445,0.7644444444444445,0.7078189300411523,0.2755102040816326,0.5055555555555555,0.6319444444444444,0.6590038314176245,0.28027849450637243,0.6945679012345679,0.7441912437534126,0.3518926494571717,405,225,180,0.5555555555555556,0.6862745098039216,0.6681818181818182,0.3684210526315789,0.6363636363636364,0.6363636363636364,0.4666666666666667,0.26618705035971224,0.7,0.875,0.3684210526315789,0.2861433040115075,0.6789772727272727,0.41875611882538666,0.07696839605967612,102,22,80,0.21568627450980393
7,1,0.3930678571577249,0.06745555483226495,0.6370370370370371,0.6361650722374073,0.6405529953917051,0.6682692307692307,0.6682692307692307,0.6541176470588236,0.2726595237804357,0.6040609137055838,0.6329787234042553,0.6405529953917051,0.27293027039547707,0.6835708707536119,0.6892055887416705,0.3930678571577249,405,208,197,0.5135802469135803,0.696078431372549,0.625,0.3548387096774194,0.5,0.5,0.41509433962264153,0.21771400296882726,0.75,0.8450704225352113,0.3548387096774194,0.22355599534156462,0.6988636363636364,0.4190862013296249,0.06745555483226495,102,22,80,0.21568627450980393
8,1,0.31139369830478714,0.08595930259017383,0.6814814814814815,0.6791208791208792,0.6896551724137931,0.6153846153846154,0.6153846153846154,0.6504065040650406,0.3596249310535026,0.7428571428571429,0.6753246753246753,0.6896551724137931,0.3615951083416895,0.7484004884004885,0.7433806542382291,0.31139369830478714,405,195,210,0.48148148148148145,0.7352941176470589,0.5346590909090909,0.3076923076923077,0.18181818181818182,0.18181818181818182,0.22857142857142856,0.08138759172781851,0.8875,0.797752808988764,0.3076923076923077,0.08549423237820156,0.7022727272727272,0.3931232529514839,0.08595930259017383,102,22,80,0.21568627450980393
9,1,0.32383269208774107,0.07317894471500896,0.6888888888888889,0.6879880905896134,0.6880733944954128,0.7211538461538461,0.7211538461538461,0.704225352112676,0.3764815131595025,0.6548223350253807,0.6898395721925134,0.6880733944954128,0.37694333000258656,0.7481208512299883,0.7416364925228154,0.32383269208774107,405,208,197,0.5135802469135803,0.7745098039215687,0.6585227272727273,0.47619047619047616,0.45454545454545453,0.45454545454545453,0.46511627906976744,0.32235701906412473,0.8625,0.8518518518518519,0.47619047619047616,0.3224970216983856,0.7039772727272727,0.4323569616006882,0.07317894471500896,102,22,80,0.21568627450980393
10,1,0.30268046184232267,0.10908659841164518,0.7160493827160493,0.7144688644688644,0.7197802197802198,0.6717948717948717,0.6717948717948717,0.6949602122015915,0.4299614466678906,0.7571428571428571,0.7130044843049327,0.7197802197802198,0.4308569229909998,0.779047619047619,0.7409610886003177,0.30268046184232267,405,195,210,0.48148148148148145,0.46078431372549017,0.5903409090909091,0.2608695652173913,0.8181818181818182,0.8181818181818182,0.3956043956043956,0.10182516810758879,0.3625,0.8787878787878788,0.2608695652173913,0.15885075040898505,0.7267045454545454,0.46959037635496426,0.10908659841164518,102,22,80,0.21568627450980393
