epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.07222041911354252,0.07293236871751455,0.5185185185185185,0.4937279929577465,0.5227272727272727,0.971830985915493,0.971830985915493,0.6798029556650246,0.015625,0.3333333333333333,0.5227272727272727,-0.042492090851017975,0.5628178794992175,0.609902489038695,0.07222041911354252,405,213,192,0.5259259259259259,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6698863636363637,0.3916199975540527,0.07293236871751455,102,22,80,0.21568627450980393
2,1,0.06437489938210039,0.06726255998588525,0.508641975308642,0.5169902912621359,0.5,1.0,1.0,0.6666666666666666,0.03398058252427184,1.0,0.5,0.13034681147667526,0.7526223349758501,0.7486799541438367,0.06437489938210039,405,199,206,0.49135802469135803,0.24509803921568626,0.51875,0.2222222222222222,1.0,1.0,0.36363636363636365,0.0375,1.0,0.2222222222222222,0.09128709291752769,0.7670454545454546,0.4697004225783051,0.06726255998588525,102,22,80,0.21568627450980393
3,1,0.056852769398806145,0.06378050076846893,0.5901234567901235,0.6060121170664973,0.53954802259887,0.9845360824742269,0.9845360824742269,0.6970802919708029,0.22748815165876776,0.9411764705882353,0.53954802259887,0.3192573295900471,0.8529339913030732,0.8422982479084167,0.056852769398806145,405,194,211,0.47901234567901235,0.46078431372549017,0.65625,0.2857142857142857,1.0,1.0,0.4444444444444444,0.3125,1.0,0.2857142857142857,0.29880715233359845,0.79375,0.5171909869603719,0.06378050076846893,102,22,80,0.21568627450980393
4,1,0.04924027482047677,0.06534638126882222,0.7209876543209877,0.7154150197628458,0.6535947712418301,0.966183574879227,0.966183574879227,0.7797270955165692,0.46464646464646464,0.9292929292929293,0.6535947712418301,0.5011242670839539,0.8944761625921047,0.9062818104876063,0.04924027482047677,405,207,198,0.5111111111111111,0.4117647058823529,0.625,0.2682926829268293,1.0,1.0,0.4230769230769231,0.25,1.0,0.2682926829268293,0.2589848851414061,0.8323863636363636,0.5386061460300069,0.06534638126882222,102,22,80,0.21568627450980393
5,1,0.04905709710118233,0.06263423811357755,0.7209876543209877,0.7075264084507042,0.6602564102564102,0.9671361502347418,0.9671361502347418,0.7847619047619048,0.4479166666666667,0.9247311827956989,0.6602564102564102,0.49274815915298226,0.877029538341158,0.8575365455280847,0.04905709710118233,405,213,192,0.5259259259259259,0.5,0.6482954545454546,0.2898550724637681,0.9090909090909091,0.9090909090909091,0.43956043956043955,0.3875,0.9393939393939394,0.2898550724637681,0.26075500538833396,0.8318181818181818,0.579180387043027,0.06263423811357755,102,22,80,0.21568627450980393
6,1,0.041125962273309044,0.05755678872362925,0.7802469135802469,0.7760210803689065,0.7092198581560284,0.966183574879227,0.966183574879227,0.8179959100204499,0.5858585858585859,0.943089430894309,0.7092198581560284,0.6000851851168256,0.9234372712633583,0.9152106288731836,0.041125962273309044,405,207,198,0.5111111111111111,0.5882352941176471,0.7045454545454546,0.3333333333333333,0.9090909090909091,0.9090909090909091,0.4878048780487805,0.5,0.9523809523809523,0.3333333333333333,0.3418817293789138,0.834659090909091,0.5793836900458188,0.05755678872362925,102,22,80,0.21568627450980393
7,1,0.0396171411974173,0.05404627534489219,0.7851851851851852,0.7718158643004216,0.7272727272727273,0.9585253456221198,0.9585253456221198,0.827037773359841,0.5851063829787234,0.9243697478991597,0.7272727272727273,0.5951920070090198,0.9268800862829689,0.9300770586041015,0.0396171411974173,405,217,188,0.5358024691358024,0.6568627450980392,0.7153409090909091,0.3673469387755102,0.8181818181818182,0.8181818181818182,0.5070422535211268,0.6125,0.9245283018867925,0.3673469387755102,0.3545495160491638,0.8267045454545454,0.5672714405724981,0.05404627534489219,102,22,80,0.21568627450980393
8,1,0.038152519156973735,0.05221623422291417,0.8395061728395061,0.8289047945877046,0.7794117647058824,0.9769585253456221,0.9769585253456221,0.8670756646216768,0.6808510638297872,0.9624060150375939,0.7794117647058824,0.6985519658093237,0.9195754485733896,0.9086314571313601,0.038152519156973735,405,217,188,0.5358024691358024,0.6862745098039216,0.7670454545454546,0.4,0.9090909090909091,0.9090909090909091,0.5555555555555556,0.625,0.9615384615384616,0.4,0.4394250853039749,0.8380681818181818,0.5848072970182095,0.05221623422291417,102,22,80,0.21568627450980393
9,1,0.03612192569976198,0.05027480695683222,0.837037037037037,0.8398111550285463,0.764,0.9646464646464646,0.9646464646464646,0.8526785714285714,0.714975845410628,0.9548387096774194,0.764,0.6989555239279732,0.9362221246279218,0.9350253153172485,0.03612192569976198,405,198,207,0.4888888888888889,0.7549019607843137,0.7778409090909091,0.46153846153846156,0.8181818181818182,0.8181818181818182,0.5901639344262295,0.7375,0.9365079365079365,0.46153846153846156,0.4703053754606109,0.83125,0.5851164415140463,0.05027480695683222,102,22,80,0.21568627450980393
10,1,0.030936681035467806,0.05163950831271135,0.8839506172839506,0.8854100600087818,0.8247863247863247,0.9698492462311558,0.9698492462311558,0.8914549653579676,0.8009708737864077,0.9649122807017544,0.8247863247863247,0.7802022647109043,0.9597989949748743,0.9555411019430107,0.030936681035467806,405,199,206,0.49135802469135803,0.7352941176470589,0.7818181818181817,0.4418604651162791,0.8636363636363636,0.8636363636363636,0.5846153846153846,0.7,0.9491525423728814,0.4418604651162791,0.4694562276461019,0.8380681818181819,0.5996023278928239,0.05163950831271135,102,22,80,0.21568627450980393
11,1,0.03405327010698909,0.05219339833666499,0.8345679012345679,0.8374658336587271,0.768595041322314,0.9441624365482234,0.9441624365482234,0.8473804100227791,0.7307692307692307,0.9325153374233128,0.768595041322314,0.6878965015904338,0.947603475204998,0.9433973410446594,0.03405327010698909,405,197,208,0.48641975308641977,0.7352941176470589,0.7653409090909091,0.43902439024390244,0.8181818181818182,0.8181818181818182,0.5714285714285714,0.7125,0.9344262295081968,0.43902439024390244,0.4451780024789756,0.8357954545454547,0.5899856526549716,0.05219339833666499,102,22,80,0.21568627450980393
12,1,0.029632634305230835,0.0517063640917723,0.8592592592592593,0.8524734550080736,0.803088803088803,0.9719626168224299,0.9719626168224299,0.879492600422833,0.7329842931937173,0.958904109589041,0.803088803088803,0.7329151037101433,0.9610021040270098,0.9571589304340953,0.029632634305230835,405,214,191,0.528395061728395,0.7254901960784313,0.7755681818181819,0.4318181818181818,0.8636363636363636,0.8636363636363636,0.5757575757575758,0.6875,0.9482758620689655,0.4318181818181818,0.4576938378302714,0.8363636363636363,0.5744477731415164,0.0517063640917723,102,22,80,0.21568627450980393
13,1,0.027787503336702345,0.05215935366084942,0.8790123456790123,0.8848873177198409,0.8127853881278538,0.956989247311828,0.956989247311828,0.8790123456790123,0.8127853881278538,0.956989247311828,0.8127853881278538,0.7697746354396818,0.9674964403201257,0.9641090929044879,0.027787503336702345,405,186,219,0.45925925925925926,0.7352941176470589,0.7818181818181817,0.4418604651162791,0.8636363636363636,0.8636363636363636,0.5846153846153846,0.7,0.9491525423728814,0.4418604651162791,0.4694562276461019,0.8420454545454545,0.5881044393285426,0.05215935366084942,102,22,80,0.21568627450980393
14,1,0.02608612939423206,0.04898058876502686,0.891358024691358,0.8985009599763698,0.8202764976958525,0.9726775956284153,0.9726775956284153,0.89,0.8243243243243243,0.973404255319149,0.8202764976958525,0.7953396029260031,0.9701668881996751,0.9607467984958865,0.02608612939423206,405,183,222,0.45185185185185184,0.7843137254901961,0.7801136363636363,0.5,0.7727272727272727,0.7727272727272727,0.6071428571428571,0.7875,0.9264705882352942,0.5,0.48879490028585054,0.8460227272727272,0.5868703313328006,0.04898058876502686,102,22,80,0.21568627450980393
15,1,0.02385885335788058,0.050140275207992926,0.9111111111111111,0.9095300834431269,0.8638297872340426,0.9806763285024155,0.9806763285024155,0.918552036199095,0.8383838383838383,0.9764705882352941,0.8638297872340426,0.8296122984662756,0.9737715317425462,0.9721305487028113,0.02385885335788058,405,207,198,0.5111111111111111,0.7745098039215687,0.8232954545454545,0.4878048780487805,0.9090909090909091,0.9090909090909091,0.6349206349206349,0.7375,0.9672131147540983,0.4878048780487805,0.5424117417784521,0.8494318181818182,0.6081762330662721,0.050140275207992926,102,22,80,0.21568627450980393
16,1,0.02048696504732338,0.0501727384980768,0.9185185185185185,0.9197321559252574,0.8640350877192983,0.9899497487437185,0.9899497487437185,0.9227166276346604,0.8495145631067961,0.9887005649717514,0.8640350877192983,0.8460739612331132,0.9806557057130312,0.9746204169457103,0.02048696504732338,405,199,206,0.49135802469135803,0.7941176470588235,0.8193181818181818,0.5135135135135135,0.8636363636363636,0.8636363636363636,0.6440677966101694,0.775,0.9538461538461539,0.5135135135135135,0.546326714039208,0.8511363636363637,0.616327178911942,0.0501727384980768,102,22,80,0.21568627450980393
17,1,0.021002697329237766,0.05238456287994408,0.9234567901234568,0.9225,0.8686440677966102,1.0,1.0,0.9297052154195011,0.845,1.0,0.8686440677966102,0.8567404725400427,0.981390243902439,0.9795548804257539,0.021002697329237766,405,205,200,0.5061728395061729,0.7549019607843137,0.7778409090909091,0.46153846153846156,0.8181818181818182,0.8181818181818182,0.5901639344262295,0.7375,0.9365079365079365,0.46153846153846156,0.4703053754606109,0.8397727272727273,0.6102491544060088,0.05238456287994408,102,22,80,0.21568627450980393
18,1,0.01956040327501136,0.05489074877606562,0.9160493827160494,0.911557469295885,0.8688524590163934,0.9906542056074766,0.9906542056074766,0.925764192139738,0.8324607329842932,0.9875776397515528,0.8688524590163934,0.8396072940104329,0.9847825023242158,0.9842520224292686,0.01956040327501136,405,214,191,0.528395061728395,0.7843137254901961,0.7801136363636363,0.5,0.7727272727272727,0.7727272727272727,0.6071428571428571,0.7875,0.9264705882352942,0.5,0.48879490028585054,0.8414772727272728,0.6021876173568065,0.05489074877606562,102,22,80,0.21568627450980393
19,1,0.018443200075268455,0.05384358030278236,0.9160493827160494,0.9170121951219512,0.8577586206896551,0.995,0.995,0.9212962962962963,0.8390243902439024,0.9942196531791907,0.8577586206896551,0.8429535339296685,0.9888048780487804,0.9881790522740419,0.018443200075268455,405,200,205,0.49382716049382713,0.803921568627451,0.7926136363636364,0.53125,0.7727272727272727,0.7727272727272727,0.6296296296296297,0.8125,0.9285714285714286,0.53125,0.5187485330913385,0.8454545454545455,0.6174203205493678,0.05384358030278236,102,22,80,0.21568627450980393
20,1,0.017829711554690684,0.057490526080633014,0.9209876543209876,0.923831752859517,0.867579908675799,0.9844559585492227,0.9844559585492227,0.9223300970873787,0.8632075471698113,0.9838709677419355,0.867579908675799,0.8495550805285087,0.9872421546583243,0.9847898874947616,0.017829711554690684,405,193,212,0.4765432098765432,0.7941176470588235,0.7863636363636364,0.5151515151515151,0.7727272727272727,0.7727272727272727,0.6181818181818182,0.8,0.927536231884058,0.5151515151515151,0.5035269069567828,0.8403409090909092,0.5999813819670025,0.057490526080633014,102,22,80,0.21568627450980393
21,1,0.017069247902790997,0.05695112834935291,0.9209876543209876,0.9201829268292683,0.8744588744588745,0.9853658536585366,0.9853658536585366,0.926605504587156,0.855,0.9827586206896551,0.8744588744588745,0.8487498524780588,0.9877317073170732,0.9878015725493403,0.017069247902790997,405,205,200,0.5061728395061729,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8431818181818181,0.5991491955825293,0.05695112834935291,102,22,80,0.21568627450980393
22,1,0.015055716377865597,0.05607929242810664,0.945679012345679,0.947881024538078,0.9014084507042254,0.9948186528497409,0.9948186528497409,0.9458128078817734,0.9009433962264151,0.9947916666666666,0.9014084507042254,0.8959810564506605,0.989979470133933,0.9870936898530738,0.015055716377865597,405,193,212,0.4765432098765432,0.7745098039215687,0.790340909090909,0.4864864864864865,0.8181818181818182,0.8181818181818182,0.6101694915254238,0.7625,0.9384615384615385,0.4864864864864865,0.49674902290753603,0.8431818181818183,0.5969627282540226,0.05607929242810664,102,22,80,0.21568627450980393
23,1,0.014839085904360913,0.0582989471552607,0.9308641975308642,0.9339622641509434,0.8733031674208145,1.0,1.0,0.9323671497584541,0.8679245283018868,1.0,0.8733031674208145,0.8706096942076019,0.9949897350669664,0.9940962256483269,0.014839085904360913,405,193,212,0.4765432098765432,0.7941176470588235,0.7698863636363636,0.5161290322580645,0.7272727272727273,0.7272727272727273,0.6037735849056604,0.8125,0.9154929577464789,0.5161290322580645,0.4826777172147418,0.8431818181818181,0.6067836671857463,0.0582989471552607,102,22,80,0.21568627450980393
24,1,0.014998159418110828,0.05829659251209635,0.9358024691358025,0.9358996244452031,0.9036697247706422,0.9752475247524752,0.9752475247524752,0.9380952380952381,0.896551724137931,0.9732620320855615,0.9036697247706422,0.8743617369003419,0.9892698629468858,0.9860130614623476,0.014998159418110828,405,202,203,0.49876543209876545,0.7843137254901961,0.7636363636363637,0.5,0.7272727272727273,0.7272727272727273,0.5925925925925926,0.8,0.9142857142857143,0.5,0.4673773191347206,0.8414772727272727,0.5947243536272645,0.05829659251209635,102,22,80,0.21568627450980393
