epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.08011646324074735,0.07809479964467195,0.5185185185185185,0.4819373401534527,0.5357142857142857,0.8823529411764706,0.8823529411764706,0.6666666666666666,0.08152173913043478,0.36585365853658536,0.5357142857142857,-0.05963127939249497,0.4460702341137124,0.5043312193512148,0.08011646324074735,405,221,184,0.5456790123456791,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.5636363636363637,0.26654346874706436,0.07809479964467195,102,22,80,0.21568627450980393
2,1,0.07074334914339524,0.07854326556508358,0.5308641975308642,0.5,0.5308641975308642,1.0,1.0,0.6935483870967742,0.0,0.0,0.5308641975308642,0.0,0.5357405140758873,0.5815933115695238,0.07074334914339524,405,215,190,0.5308641975308642,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6227272727272727,0.3445589702543488,0.07854326556508358,102,22,80,0.21568627450980393
3,1,0.07039268880936445,0.07670552082932912,0.49135802469135803,0.5,0.49135802469135803,1.0,1.0,0.6589403973509934,0.0,0.0,0.49135802469135803,0.0,0.6320193199004732,0.6265028439240345,0.07039268880936445,405,199,206,0.49135802469135803,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6465909090909091,0.3731791405466658,0.07670552082932912,102,22,80,0.21568627450980393
4,1,0.06887579088409741,0.07599160304436317,0.508641975308642,0.5,0.508641975308642,1.0,1.0,0.67430441898527,0.0,0.0,0.508641975308642,0.0,0.6588525150021954,0.6805751558188275,0.06887579088409741,405,206,199,0.508641975308642,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6443181818181818,0.37079792187235716,0.07599160304436317,102,22,80,0.21568627450980393
5,1,0.06914229230845675,0.07532259119817844,0.49382716049382713,0.5,0.49382716049382713,1.0,1.0,0.6611570247933884,0.0,0.0,0.49382716049382713,0.0,0.6589512195121952,0.6696850136552277,0.06914229230845675,405,200,205,0.49382716049382713,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6539772727272727,0.3741085991791208,0.07532259119817844,102,22,80,0.21568627450980393
6,1,0.06710062055465053,0.07533430150495125,0.4740740740740741,0.5023364485981309,0.47277227722772275,1.0,1.0,0.6420168067226891,0.004672897196261682,1.0,0.47277227722772275,0.04700230046208033,0.7366541077457552,0.7190509900472997,0.06710062055465053,405,191,214,0.47160493827160493,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6573863636363636,0.37289265281320993,0.07533430150495125,102,22,80,0.21568627450980393
7,1,0.06771746146328309,0.07682322323895417,0.508641975308642,0.5,0.508641975308642,1.0,1.0,0.67430441898527,0.0,0.0,0.508641975308642,0.0,0.6790993803971312,0.7035501126791097,0.06771746146328309,405,206,199,0.508641975308642,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.21568627450980393,0.0,0.6772727272727272,0.38115426468210795,0.07682322323895417,102,22,80,0.21568627450980393
8,1,0.06458018774933674,0.06925812148703979,0.5012345679012346,0.5024630541871922,0.5,1.0,1.0,0.6666666666666666,0.0049261083743842365,1.0,0.5,0.049629166698546515,0.7639125981563675,0.7547965154316296,0.06458018774933674,405,202,203,0.49876543209876545,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.075,1.0,0.22916666666666666,0.13110110602126893,0.6619318181818181,0.36922579306102843,0.06925812148703979,102,22,80,0.21568627450980393
9,1,0.06597052258895893,0.07800704470047584,0.5604938271604938,0.521505376344086,0.5516372795969773,1.0,1.0,0.711038961038961,0.043010752688172046,1.0,0.5516372795969773,0.15403355026201795,0.6967889232582118,0.7144400235551376,0.06597052258895893,405,219,186,0.5407407407407407,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.677840909090909,0.37783842611272234,0.07800704470047584,102,22,80,0.21568627450980393
10,1,0.065805106003787,0.07542361448017451,0.4962962962962963,0.5135531135531135,0.4884910485933504,0.9794871794871794,0.9794871794871794,0.6518771331058021,0.047619047619047616,0.7142857142857143,0.4884910485933504,0.07413847170306041,0.7088400488400488,0.712326494336523,0.065805106003787,405,195,210,0.48148148148148145,0.2647058823529412,0.53125,0.2268041237113402,1.0,1.0,0.3697478991596639,0.0625,1.0,0.2268041237113402,0.11905989136547522,0.6954545454545454,0.3877882367143738,0.07542361448017451,102,22,80,0.21568627450980393
11,1,0.06506755000309032,0.07111948570952965,0.5259259259259259,0.5362318840579711,0.5076923076923077,1.0,1.0,0.673469387755102,0.07246376811594203,1.0,0.5076923076923077,0.19180536399919287,0.7261259942419364,0.713872219403769,0.06506755000309032,405,198,207,0.4888888888888889,0.29411764705882354,0.55,0.23404255319148937,1.0,1.0,0.3793103448275862,0.1,1.0,0.23404255319148937,0.15298449372125575,0.7028409090909091,0.3841926394034306,0.07111948570952965,102,22,80,0.21568627450980393
12,1,0.06347805634140968,0.07355082522218044,0.5111111111111111,0.5274725274725275,0.49606299212598426,0.9692307692307692,0.9692307692307692,0.65625,0.08571428571428572,0.75,0.49606299212598426,0.11627529669842526,0.7587545787545789,0.7759119785627508,0.06347805634140968,405,195,210,0.48148148148148145,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.075,1.0,0.22916666666666666,0.13110110602126893,0.7045454545454545,0.38969162092646104,0.07355082522218044,102,22,80,0.21568627450980393
13,1,0.06199229793513522,0.07925802526565698,0.582716049382716,0.5445331695331695,0.566579634464752,0.9863636363636363,0.9863636363636363,0.7197346600331676,0.10270270270270271,0.8636363636363636,0.566579634464752,0.19574923744075592,0.7566339066339067,0.7760134990776469,0.06199229793513522,405,220,185,0.5432098765432098,0.2647058823529412,0.53125,0.2268041237113402,1.0,1.0,0.3697478991596639,0.0625,1.0,0.2268041237113402,0.11905989136547522,0.7090909090909091,0.39405745921879687,0.07925802526565698,102,22,80,0.21568627450980393
14,1,0.06577351041065127,0.07186586137574452,0.528395061728395,0.5465627595641764,0.5039787798408488,0.979381443298969,0.979381443298969,0.6654991243432574,0.11374407582938388,0.8571428571428571,0.5039787798408488,0.1833838594658435,0.7153955147310305,0.6771240771971052,0.06577351041065127,405,194,211,0.47901234567901235,0.28431372549019607,0.54375,0.23157894736842105,1.0,1.0,0.37606837606837606,0.0875,1.0,0.23157894736842105,0.1423487193294581,0.7028409090909091,0.38336539768926226,0.07186586137574452,102,22,80,0.21568627450980393
15,1,0.058829540715498084,0.0702867629722907,0.5925925925925926,0.5814867239359626,0.5582655826558266,0.9903846153846154,0.9903846153846154,0.7140381282495667,0.17258883248730963,0.9444444444444444,0.5582655826558266,0.28623135117649157,0.8079851620460758,0.8195978939508322,0.058829540715498084,405,208,197,0.5135802469135803,0.30392156862745096,0.5232954545454546,0.2247191011235955,0.9090909090909091,0.9090909090909091,0.36036036036036034,0.1375,0.8461538461538461,0.2247191011235955,0.05746333651649613,0.6960227272727273,0.3729553344375789,0.0702867629722907,102,22,80,0.21568627450980393
16,1,0.06378965136394196,0.0738063185260846,0.6049382716049383,0.6021729587357331,0.5621468926553672,0.9754901960784313,0.9754901960784313,0.7132616487455197,0.22885572139303484,0.9019607843137255,0.5621468926553672,0.3079586158168011,0.7354892205638475,0.7216275801141578,0.06378965136394196,405,204,201,0.5037037037037037,0.28431372549019607,0.54375,0.23157894736842105,1.0,1.0,0.37606837606837606,0.0875,1.0,0.23157894736842105,0.1423487193294581,0.7153409090909091,0.3923206390585808,0.0738063185260846,102,22,80,0.21568627450980393
17,1,0.05946399388360042,0.0724537088893927,0.6074074074074074,0.624449823943662,0.5495495495495496,0.953125,0.953125,0.6971428571428572,0.29577464788732394,0.875,0.5495495495495496,0.32506958238753264,0.8034771126760563,0.7876111814187513,0.05946399388360042,405,192,213,0.4740740740740741,0.3137254901960784,0.5460227272727273,0.23333333333333334,0.9545454545454546,0.9545454545454546,0.375,0.1375,0.9166666666666666,0.23333333333333334,0.11750241777009604,0.7147727272727273,0.39079176981650976,0.0724537088893927,102,22,80,0.21568627450980393
18,1,0.0575147300922111,0.07755021951519527,0.6296296296296297,0.6120955127578454,0.5870786516853933,0.9858490566037735,0.9858490566037735,0.7359154929577465,0.23834196891191708,0.9387755102040817,0.5870786516853933,0.3433537298846416,0.8071659008700752,0.8148202370942228,0.0575147300922111,405,212,193,0.5234567901234568,0.28431372549019607,0.54375,0.23157894736842105,1.0,1.0,0.37606837606837606,0.0875,1.0,0.23157894736842105,0.1423487193294581,0.7238636363636364,0.4000466630953074,0.07755021951519527,102,22,80,0.21568627450980393
