epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.6857461444303101,0.6540568448030032,0.5530864197530864,0.5532604984636394,0.5632183908045977,0.4827586206896552,0.4827586206896552,0.519893899204244,0.6237623762376238,0.5454545454545454,0.5632183908045977,0.10759158661037846,0.5987172608886504,0.6042441810811582,0.6857461444303101,405,203,202,0.5012345679012346,0.696078431372549,0.6744318181818182,0.3783783783783784,0.6363636363636364,0.6363636363636364,0.4745762711864407,0.7125,0.8769230769230769,0.3783783783783784,0.2984382583808485,0.7170454545454545,0.5153863114955783,0.6540568448030032,102,22,80,0.21568627450980393
2,1,0.6578972532468683,0.6133979994517106,0.6469135802469136,0.6432965530709891,0.6709677419354839,0.5306122448979592,0.5306122448979592,0.5925925925925926,0.7559808612440191,0.632,0.6709677419354839,0.2946667036197195,0.7014207596914364,0.6653872642075549,0.6578972532468683,405,196,209,0.4839506172839506,0.7745098039215687,0.7244318181818181,0.4827586206896552,0.6363636363636364,0.6363636363636364,0.5490196078431373,0.8125,0.8904109589041096,0.4827586206896552,0.40927039286606925,0.8119318181818183,0.5615916761566334,0.6133979994517106,102,22,80,0.21568627450980393
3,1,0.6004169194721708,0.6359644692677718,0.7530864197530864,0.752831754711454,0.7607655502392344,0.7607655502392344,0.7607655502392344,0.7607655502392344,0.7448979591836735,0.7448979591836735,0.7607655502392344,0.5056635094229079,0.8233815057123328,0.8164907691966811,0.6004169194721708,405,209,196,0.5160493827160494,0.7058823529411765,0.7465909090909091,0.4090909090909091,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.675,0.9310344827586207,0.4090909090909091,0.4095652074604903,0.8323863636363636,0.5963550441833319,0.6359644692677718,102,22,80,0.21568627450980393
4,1,0.5720797496683457,0.6026363785450275,0.782716049382716,0.7806062533639967,0.78125,0.8177570093457944,0.8177570093457944,0.7990867579908676,0.743455497382199,0.7845303867403315,0.78125,0.5634918181305518,0.8524000587170328,0.8386459614413146,0.5720797496683457,405,214,191,0.528395061728395,0.7647058823529411,0.7676136363636363,0.4722222222222222,0.7727272727272727,0.7727272727272727,0.5862068965517241,0.7625,0.9242424242424242,0.4722222222222222,0.4606502919352761,0.8340909090909092,0.6002518477163006,0.6026363785450275,102,22,80,0.21568627450980393
5,1,0.5308966139952341,0.5759352216353784,0.854320987654321,0.8542347660633263,0.8535353535353535,0.8492462311557789,0.8492462311557789,0.8513853904282116,0.8592233009708737,0.855072463768116,0.8535353535353535,0.708538671341429,0.9075474459677026,0.9031522529436735,0.5308966139952341,405,199,206,0.49135802469135803,0.7843137254901961,0.7801136363636363,0.5,0.7727272727272727,0.7727272727272727,0.6071428571428571,0.7875,0.9264705882352942,0.5,0.48879490028585054,0.8272727272727273,0.5940890661315665,0.5759352216353784,102,22,80,0.21568627450980393
6,1,0.5397139013397927,0.5834088485974532,0.8074074074074075,0.8069767441860465,0.8215962441314554,0.813953488372093,0.813953488372093,0.8177570093457944,0.8,0.7916666666666666,0.8215962441314554,0.6136081024348772,0.8810526315789472,0.888056758693451,0.5397139013397927,405,215,190,0.5308641975308642,0.7450980392156863,0.7551136363636364,0.4473684210526316,0.7727272727272727,0.7727272727272727,0.5666666666666667,0.7375,0.921875,0.4473684210526316,0.4340484577742124,0.8284090909090909,0.6049020426900398,0.5834088485974532,102,22,80,0.21568627450980393
7,1,0.490565019495347,0.6004663957999303,0.8666666666666667,0.8668422592917764,0.8483412322274881,0.8905472636815921,0.8905472636815921,0.8689320388349514,0.8431372549019608,0.8865979381443299,0.8483412322274881,0.7343115765139775,0.9351282801677885,0.9306016406139745,0.490565019495347,405,201,204,0.4962962962962963,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8267045454545454,0.5949281082490464,0.6004663957999303,102,22,80,0.21568627450980393
8,1,0.5064806862204683,0.5891373306512833,0.8666666666666667,0.8655677655677656,0.8545454545454545,0.8952380952380953,0.8952380952380953,0.8744186046511628,0.8358974358974359,0.8810810810810811,0.8545454545454545,0.733377595678173,0.9131623931623932,0.9041556888902753,0.5064806862204683,405,210,195,0.5185185185185185,0.7450980392156863,0.7386363636363636,0.4444444444444444,0.7272727272727273,0.7272727272727273,0.5517241379310345,0.75,0.9090909090909091,0.4444444444444444,0.4107709609613927,0.8289772727272727,0.595669784939835,0.5891373306512833,102,22,80,0.21568627450980393
9,1,0.4894780230288412,0.5862880991055415,0.854320987654321,0.8539024390243902,0.8348623853211009,0.8878048780487805,0.8878048780487805,0.8605200945626478,0.82,0.8770053475935828,0.8348623853211009,0.709833398680662,0.931439024390244,0.9215882102160188,0.4894780230288412,405,205,200,0.5061728395061729,0.7647058823529411,0.7676136363636363,0.4722222222222222,0.7727272727272727,0.7727272727272727,0.5862068965517241,0.7625,0.9242424242424242,0.4722222222222222,0.4606502919352761,0.8278409090909091,0.5791575161110912,0.5862880991055415,102,22,80,0.21568627450980393
10,1,0.47023754406209084,0.6011360986874654,0.8839506172839506,0.8819532701143806,0.8634361233480177,0.9245283018867925,0.9245283018867925,0.8929384965831435,0.8393782383419689,0.9101123595505618,0.8634361233480177,0.768712394377937,0.9473799980447746,0.9452728796038059,0.47023754406209084,405,212,193,0.5234567901234568,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8301136363636363,0.5905844450640408,0.6011360986874654,102,22,80,0.21568627450980393
11,1,0.48609721485306234,0.5848784412329013,0.8790123456790123,0.8776899429073343,0.8434782608695652,0.9371980676328503,0.9371980676328503,0.8878718535469108,0.8181818181818182,0.9257142857142857,0.8434782608695652,0.7622549298023618,0.9344654272190505,0.9262245552035852,0.48609721485306234,405,207,198,0.5111111111111111,0.7745098039215687,0.740909090909091,0.4838709677419355,0.6818181818181818,0.6818181818181818,0.5660377358490566,0.8,0.9014084507042254,0.4838709677419355,0.43085337284010633,0.8170454545454545,0.5820575122984243,0.5848784412329013,102,22,80,0.21568627450980393
12,1,0.47258948783079785,0.5670560334737484,0.8839506172839506,0.884606938954765,0.8578199052132701,0.9141414141414141,0.9141414141414141,0.8850855745721271,0.855072463768116,0.9123711340206185,0.8578199052132701,0.7697023035045891,0.9433709071390232,0.9372098591313077,0.47258948783079785,405,198,207,0.4888888888888889,0.7941176470588235,0.7534090909090909,0.5172413793103449,0.6818181818181818,0.6818181818181818,0.5882352941176471,0.825,0.9041095890410958,0.5172413793103449,0.46211289928675164,0.8198863636363637,0.5884318123863952,0.5670560334737484,102,22,80,0.21568627450980393
13,1,0.46292901594264835,0.580336773624787,0.8962962962962963,0.8951167001027548,0.8909090909090909,0.9158878504672897,0.9158878504672897,0.9032258064516129,0.8743455497382199,0.9027027027027027,0.8909090909090909,0.7919207953507982,0.944463473112492,0.9362180669301864,0.46292901594264835,405,214,191,0.528395061728395,0.803921568627451,0.7596590909090909,0.5357142857142857,0.6818181818181818,0.6818181818181818,0.6,0.8375,0.9054054054054054,0.5357142857142857,0.4786245668125237,0.8261363636363637,0.5948597724462318,0.580336773624787,102,22,80,0.21568627450980393
14,1,0.4305625677693124,0.5891981308276837,0.928395061728395,0.9283397551577818,0.910377358490566,0.9507389162561576,0.9507389162561576,0.9301204819277108,0.905940594059406,0.9481865284974094,0.910377358490566,0.8576211811047378,0.970492123103936,0.9602616898485508,0.4305625677693124,405,203,202,0.5012345679012346,0.803921568627451,0.7761363636363636,0.5333333333333333,0.7272727272727273,0.7272727272727273,0.6153846153846154,0.825,0.9166666666666666,0.5333333333333333,0.49852053846629757,0.8255681818181818,0.5870156820567055,0.5891981308276837,102,22,80,0.21568627450980393
15,1,0.44115962000454173,0.5876518178444642,0.9061728395061729,0.9065656565656566,0.8883495145631068,0.9242424242424242,0.9242424242424242,0.905940594059406,0.8888888888888888,0.9246231155778895,0.8883495145631068,0.8130519677648936,0.9679158737129752,0.9629661442342295,0.44115962000454173,405,198,207,0.4888888888888889,0.7745098039215687,0.740909090909091,0.4838709677419355,0.6818181818181818,0.6818181818181818,0.5660377358490566,0.8,0.9014084507042254,0.4838709677419355,0.43085337284010633,0.8232954545454545,0.5898707251234012,0.5876518178444642,102,22,80,0.21568627450980393
16,1,0.45839951611032675,0.5658856699099908,0.891358024691358,0.8924022837066315,0.8532110091743119,0.9393939393939394,0.9393939393939394,0.8942307692307693,0.8454106280193237,0.9358288770053476,0.8532110091743119,0.7869193774110776,0.9510808568779584,0.92508417983527,0.45839951611032675,405,198,207,0.4888888888888889,0.803921568627451,0.7596590909090909,0.5357142857142857,0.6818181818181818,0.6818181818181818,0.6,0.8375,0.9054054054054054,0.5357142857142857,0.4786245668125237,0.8301136363636363,0.5789980917035983,0.5658856699099908,102,22,80,0.21568627450980393
17,1,0.4356013662090488,0.564219403725404,0.908641975308642,0.908102766798419,0.8935185185185185,0.9323671497584541,0.9323671497584541,0.9125295508274232,0.8838383838383839,0.9259259259259259,0.8935185185185185,0.8178233855978576,0.9668911335578001,0.9642423206054189,0.4356013662090488,405,207,198,0.5111111111111111,0.7941176470588235,0.7534090909090909,0.5172413793103449,0.6818181818181818,0.6818181818181818,0.5882352941176471,0.825,0.9041095890410958,0.5172413793103449,0.46211289928675164,0.8278409090909091,0.5857224583688004,0.564219403725404,102,22,80,0.21568627450980393
18,1,0.433131470691924,0.5674453973770142,0.9160493827160494,0.92025936742068,0.8673469387755102,0.9550561797752809,0.9550561797752809,0.9090909090909091,0.8854625550660793,0.9617224880382775,0.8673469387755102,0.8347744520055562,0.9723803395535316,0.9609451087584142,0.433131470691924,405,178,227,0.43950617283950616,0.7843137254901961,0.7471590909090908,0.5,0.6818181818181818,0.6818181818181818,0.5769230769230769,0.8125,0.9027777777777778,0.5,0.44620665480008115,0.8267045454545454,0.5723493720007387,0.5674453973770142,102,22,80,0.21568627450980393
19,1,0.4354003863591774,0.5742759887988751,0.9111111111111111,0.9111593425352388,0.8952380952380953,0.9306930693069307,0.9306930693069307,0.912621359223301,0.8916256157635468,0.9282051282051282,0.8952380952380953,0.822880762159395,0.9673950153636053,0.9622476033855584,0.4354003863591774,405,202,203,0.49876543209876545,0.7745098039215687,0.740909090909091,0.4838709677419355,0.6818181818181818,0.6818181818181818,0.5660377358490566,0.8,0.9014084507042254,0.4838709677419355,0.43085337284010633,0.8301136363636363,0.585236193986658,0.5742759887988751,102,22,80,0.21568627450980393
20,1,0.4184134178886227,0.563925122985473,0.9333333333333333,0.9336846728151076,0.9170731707317074,0.9494949494949495,0.9494949494949495,0.9330024813895782,0.9178743961352657,0.95,0.9170731707317074,0.8672212455371909,0.9837017518176938,0.983160495210466,0.4184134178886227,405,198,207,0.4888888888888889,0.803921568627451,0.7596590909090909,0.5357142857142857,0.6818181818181818,0.6818181818181818,0.6,0.8375,0.9054054054054054,0.5357142857142857,0.4786245668125237,0.8232954545454545,0.5666554231865628,0.563925122985473,102,22,80,0.21568627450980393
21,1,0.4120125782256033,0.5524324499643766,0.9555555555555556,0.9566184377749536,0.9310344827586207,0.9792746113989638,0.9792746113989638,0.9545454545454546,0.9339622641509434,0.9801980198019802,0.9310344827586207,0.9122341385510443,0.9869977514908593,0.9852955349684159,0.4120125782256033,405,193,212,0.4765432098765432,0.8137254901960784,0.7659090909090909,0.5555555555555556,0.6818181818181818,0.6818181818181818,0.6122448979591837,0.85,0.9066666666666666,0.5555555555555556,0.495800546407708,0.8278409090909091,0.584080790929338,0.5524324499643766,102,22,80,0.21568627450980393
22,1,0.41714079181353253,0.5718178863708789,0.9308641975308642,0.9296703296703297,0.9099099099099099,0.9619047619047619,0.9619047619047619,0.9351851851851852,0.8974358974358975,0.9562841530054644,0.9099099099099099,0.8627605560888041,0.9798778998778999,0.9789042843613163,0.41714079181353253,405,210,195,0.5185185185185185,0.7941176470588235,0.7534090909090909,0.5172413793103449,0.6818181818181818,0.6818181818181818,0.5882352941176471,0.825,0.9041095890410958,0.5172413793103449,0.46211289928675164,0.821590909090909,0.5837280039821374,0.5718178863708789,102,22,80,0.21568627450980393
23,1,0.42278744455646067,0.5523157647022834,0.9432098765432099,0.9430421422300264,0.9248826291079812,0.9656862745098039,0.9656862745098039,0.9448441247002398,0.9203980099502488,0.9635416666666666,0.9248826291079812,0.8872535186847134,0.9761242805579944,0.972746896034525,0.42278744455646067,405,204,201,0.5037037037037037,0.8235294117647058,0.772159090909091,0.5769230769230769,0.6818181818181818,0.6818181818181818,0.625,0.8625,0.9078947368421053,0.5769230769230769,0.5137072618736569,0.8261363636363637,0.594387435523404,0.5523157647022834,102,22,80,0.21568627450980393
24,1,0.41008956496622045,0.5675616447742169,0.945679012345679,0.9461750500073182,0.919431279620853,0.9748743718592965,0.9748743718592965,0.9463414634146341,0.9174757281553398,0.9742268041237113,0.919431279620853,0.8930038524039806,0.9840220520076108,0.9793393962958868,0.41008956496622045,405,199,206,0.49135802469135803,0.7843137254901961,0.7471590909090908,0.5,0.6818181818181818,0.6818181818181818,0.5769230769230769,0.8125,0.9027777777777778,0.5,0.44620665480008115,0.828409090909091,0.5935344792928113,0.5675616447742169,102,22,80,0.21568627450980393
25,1,0.4302266532299565,0.5577658070967748,0.928395061728395,0.9290993803971312,0.8935185185185185,0.9698492462311558,0.9698492462311558,0.9301204819277108,0.8883495145631068,0.9682539682539683,0.8935185185185185,0.8599837674251406,0.9771429965360785,0.9743196484816621,0.4302266532299565,405,199,206,0.49135802469135803,0.803921568627451,0.7596590909090909,0.5357142857142857,0.6818181818181818,0.6818181818181818,0.6,0.8375,0.9054054054054054,0.5357142857142857,0.4786245668125237,0.8278409090909091,0.6045381336089523,0.5577658070967748,102,22,80,0.21568627450980393
26,1,0.38150427592735664,0.5742879464076116,0.9679012345679012,0.9681598594642074,0.9556650246305419,0.9797979797979798,0.9797979797979798,0.9675810473815462,0.9565217391304348,0.9801980198019802,0.9556650246305419,0.9360913538317451,0.9962914165812716,0.9961817077929633,0.38150427592735664,405,198,207,0.4888888888888889,0.7941176470588235,0.7534090909090909,0.5172413793103449,0.6818181818181818,0.6818181818181818,0.5882352941176471,0.825,0.9041095890410958,0.5172413793103449,0.46211289928675164,0.8193181818181818,0.5991733486455616,0.5742879464076116,102,22,80,0.21568627450980393
