epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.066635186108304,0.0766115913597437,0.5259259259259259,0.5078754578754578,0.5225,0.9952380952380953,0.9952380952380953,0.6852459016393443,0.020512820512820513,0.8,0.5225,0.07127180599416806,0.6849816849816849,0.7336575326465724,0.066635186108304,405,210,195,0.5185185185185185,0.22549019607843138,0.50625,0.21782178217821782,1.0,1.0,0.35772357723577236,0.0125,1.0,0.21782178217821782,0.052180190467530134,0.7579545454545455,0.466971199855031,0.0766115913597437,102,22,80,0.21568627450980393
2,1,0.06175396021674661,0.0712546412474834,0.5481481481481482,0.5355329949238579,0.5319693094629157,1.0,1.0,0.6944908180300501,0.07106598984771574,1.0,0.5319693094629157,0.1944348876760236,0.7762104646622414,0.7689396218388307,0.06175396021674661,405,208,197,0.5135802469135803,0.27450980392156865,0.5375,0.22916666666666666,1.0,1.0,0.3728813559322034,0.075,1.0,0.22916666666666666,0.13110110602126893,0.7852272727272727,0.5000471974763938,0.0712546412474834,102,22,80,0.21568627450980393
3,1,0.05410749322789557,0.06356220205242817,0.6395061728395062,0.6420471173544045,0.5806451612903226,0.9850746268656716,0.9850746268656716,0.7306273062730627,0.29901960784313725,0.953125,0.5806451612903226,0.38941112655158133,0.8666715442395864,0.8582764105511524,0.05410749322789557,405,201,204,0.4962962962962963,0.5196078431372549,0.6772727272727272,0.30434782608695654,0.9545454545454546,0.9545454545454546,0.46153846153846156,0.4,0.9696969696969697,0.30434782608695654,0.3117071328780084,0.7784090909090909,0.5333716646990005,0.06356220205242817,102,22,80,0.21568627450980393
4,1,0.049729064855651525,0.056390766627513446,0.7358024691358025,0.7560488838515744,0.6373626373626373,0.9560439560439561,0.9560439560439561,0.7648351648351648,0.5560538116591929,0.9393939393939394,0.6373626373626373,0.5434664253338497,0.8794904646922583,0.8428343631647282,0.049729064855651525,405,182,223,0.44938271604938274,0.5980392156862745,0.6613636363636364,0.32075471698113206,0.7727272727272727,0.7727272727272727,0.4533333333333333,0.55,0.8979591836734694,0.32075471698113206,0.26567826532443933,0.7664772727272726,0.5085642230169072,0.056390766627513446,102,22,80,0.21568627450980393
5,1,0.04520058376239795,0.05523587763309479,0.7407407407407407,0.7507339629104076,0.6604477611940298,0.9267015706806283,0.9267015706806283,0.7712418300653595,0.5747663551401869,0.8978102189781022,0.6604477611940298,0.5291015700126364,0.9001565787542203,0.8935603974159025,0.04520058376239795,405,191,214,0.47160493827160493,0.6274509803921569,0.696590909090909,0.34615384615384615,0.8181818181818182,0.8181818181818182,0.4864864864864865,0.575,0.92,0.34615384615384615,0.3234916585429262,0.7999999999999999,0.5374139547243255,0.05523587763309479,102,22,80,0.21568627450980393
6,1,0.04341679374121275,0.05518462802641667,0.782716049382716,0.7734008215962441,0.7224199288256228,0.9530516431924883,0.9530516431924883,0.8218623481781376,0.59375,0.9193548387096774,0.7224199288256228,0.5923879619369213,0.9066901408450704,0.9014761379246339,0.04341679374121275,405,213,192,0.5259259259259259,0.6568627450980392,0.7153409090909091,0.3673469387755102,0.8181818181818182,0.8181818181818182,0.5070422535211268,0.6125,0.9245283018867925,0.3673469387755102,0.3545495160491638,0.7926136363636364,0.5434968990950235,0.05518462802641667,102,22,80,0.21568627450980393
7,1,0.040847501690116,0.06008860920197689,0.8024691358024691,0.8058849363197189,0.7251908396946565,0.9595959595959596,0.9595959595959596,0.8260869565217391,0.6521739130434783,0.9440559440559441,0.7251908396946565,0.6398632820059753,0.9166056702288586,0.9080009812074341,0.040847501690116,405,198,207,0.4888888888888889,0.5882352941176471,0.7045454545454546,0.3333333333333333,0.9090909090909091,0.9090909090909091,0.4878048780487805,0.5,0.9523809523809523,0.3333333333333333,0.3418817293789138,0.8045454545454546,0.5624156884912054,0.06008860920197689,102,22,80,0.21568627450980393
8,1,0.03896755659404923,0.0557867050385819,0.8,0.7932234432234433,0.7295373665480427,0.9761904761904762,0.9761904761904762,0.835030549898167,0.6102564102564103,0.9596774193548387,0.7295373665480427,0.6357577095764567,0.9302564102564103,0.9132859439866432,0.03896755659404923,405,210,195,0.5185185185185185,0.6862745098039216,0.7176136363636363,0.38636363636363635,0.7727272727272727,0.7727272727272727,0.5151515151515151,0.6625,0.9137931034482759,0.38636363636363635,0.3614365770907092,0.7869318181818182,0.5036472768620198,0.0557867050385819,102,22,80,0.21568627450980393
9,1,0.033971792812842655,0.06004332482384948,0.854320987654321,0.8557926829268292,0.7831325301204819,0.975,0.975,0.8685968819599109,0.7365853658536585,0.967948717948718,0.7831325301204819,0.7310666349199257,0.946,0.9364043103778183,0.033971792812842655,405,200,205,0.49382716049382713,0.6274509803921569,0.696590909090909,0.34615384615384615,0.8181818181818182,0.8181818181818182,0.4864864864864865,0.575,0.92,0.34615384615384615,0.3234916585429262,0.7852272727272728,0.5279216868399011,0.06004332482384948,102,22,80,0.21568627450980393
10,1,0.02938520910638366,0.06043757716766917,0.8691358024691358,0.8700248756218906,0.796,0.9900497512437811,0.9900497512437811,0.8824833702882483,0.75,0.9870967741935484,0.796,0.7612690542388696,0.9649058628426496,0.953536304883829,0.02938520910638366,405,201,204,0.4962962962962963,0.6470588235294118,0.6926136363636364,0.3541666666666667,0.7727272727272727,0.7727272727272727,0.4857142857142857,0.6125,0.9074074074074074,0.3541666666666667,0.3174357685764432,0.7840909090909091,0.5440390770587723,0.06043757716766917,102,22,80,0.21568627450980393
11,1,0.029568541616968372,0.06275296275718854,0.8641975308641975,0.8671173369777431,0.7933884297520661,0.9746192893401016,0.9746192893401016,0.8747152619589977,0.7596153846153846,0.9693251533742331,0.7933884297520661,0.7483386659983292,0.957706950409996,0.9410644397099129,0.029568541616968372,405,197,208,0.48641975308641977,0.6568627450980392,0.6988636363636364,0.3617021276595745,0.7727272727272727,0.7727272727272727,0.4927536231884058,0.625,0.9090909090909091,0.3617021276595745,0.3281794874459797,0.7823863636363636,0.5404070742512437,0.06275296275718854,102,22,80,0.21568627450980393
12,1,0.03393064426057333,0.058303084439383104,0.8617283950617284,0.8619592254791981,0.8041666666666667,0.9554455445544554,0.9554455445544554,0.8733031674208145,0.7684729064039408,0.9454545454545454,0.8041666666666667,0.7366577405310715,0.9336438569965371,0.9164235237192978,0.03393064426057333,405,202,203,0.49876543209876545,0.6470588235294118,0.6596590909090909,0.3409090909090909,0.6818181818181818,0.6818181818181818,0.45454545454545453,0.6375,0.8793103448275862,0.3409090909090909,0.26517931635114694,0.7829545454545456,0.5085629570589748,0.058303084439383104,102,22,80,0.21568627450980393
13,1,0.028131897045372455,0.061789707316515535,0.8790123456790123,0.8753173518211113,0.8149606299212598,0.9904306220095693,0.9904306220095693,0.8941684665226782,0.7602040816326531,0.9867549668874173,0.8149606299212598,0.775754825583334,0.9578654428278488,0.9512131239256234,0.028131897045372455,405,209,196,0.5160493827160494,0.6274509803921569,0.6636363636363636,0.3333333333333333,0.7272727272727273,0.7272727272727273,0.45714285714285713,0.6,0.8888888888888888,0.3333333333333333,0.26967994498529685,0.7738636363636363,0.5131516456185055,0.061789707316515535,102,22,80,0.21568627450980393
14,1,0.026580816940587088,0.05957589323560779,0.8839506172839506,0.8897796817625458,0.8095238095238095,0.9842105263157894,0.9842105263157894,0.8883610451306413,0.7953488372093023,0.9827586206896551,0.8095238095238095,0.7858951501500194,0.9636230110159119,0.952054821051196,0.026580816940587088,405,190,215,0.4691358024691358,0.696078431372549,0.6909090909090909,0.38461538461538464,0.6818181818181818,0.6818181818181818,0.4918032786885246,0.7,0.8888888888888888,0.38461538461538464,0.3231546138134259,0.7806818181818183,0.517226830499129,0.05957589323560779,102,22,80,0.21568627450980393
