epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.6838017725477031,0.6498004473172702,0.5506172839506173,0.5507974442764474,0.5606936416184971,0.47783251231527096,0.47783251231527096,0.5159574468085106,0.6237623762376238,0.5431034482758621,0.5606936416184971,0.10269008608396536,0.5990099009900991,0.6045055192949038,0.6838017725477031,405,203,202,0.5012345679012346,0.6862745098039216,0.6517045454545455,0.3611111111111111,0.5909090909090909,0.5909090909090909,0.4482758620689655,0.7125,0.8636363636363636,0.3611111111111111,0.2611329680397425,0.7176136363636363,0.5165456208224102,0.6498004473172702,102,22,80,0.21568627450980393
2,1,0.6537386176048541,0.604141795864472,0.6469135802469136,0.6431378771604335,0.673202614379085,0.5255102040816326,0.5255102040816326,0.5902578796561605,0.7607655502392344,0.6309523809523809,0.673202614379085,0.29507999037375476,0.7013963480128893,0.6658807925283996,0.6537386176048541,405,196,209,0.4839506172839506,0.7843137254901961,0.7306818181818182,0.5,0.6363636363636364,0.6363636363636364,0.56,0.825,0.8918918918918919,0.5,0.4252113219384784,0.8102272727272727,0.5591822839060636,0.604141795864472,102,22,80,0.21568627450980393
3,1,0.5910648913944468,0.6283679822316537,0.7530864197530864,0.752831754711454,0.7607655502392344,0.7607655502392344,0.7607655502392344,0.7607655502392344,0.7448979591836735,0.7448979591836735,0.7607655502392344,0.5056635094229079,0.8225759203202812,0.8155993215772552,0.5910648913944468,405,209,196,0.5160493827160494,0.696078431372549,0.7403409090909091,0.4,0.8181818181818182,0.8181818181818182,0.5373134328358209,0.6625,0.9298245614035088,0.4,0.39817165878105804,0.8301136363636363,0.5724461075850886,0.6283679822316537,102,22,80,0.21568627450980393
4,1,0.5583666191965926,0.5939177435178024,0.782716049382716,0.7806062533639967,0.78125,0.8177570093457944,0.8177570093457944,0.7990867579908676,0.743455497382199,0.7845303867403315,0.78125,0.5634918181305518,0.8509565983265647,0.8364800397200354,0.5583666191965926,405,214,191,0.528395061728395,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8335227272727274,0.6005173049628242,0.5939177435178024,102,22,80,0.21568627450980393
5,1,0.5113993219885171,0.5618474678351328,0.8493827160493828,0.8492950187832365,0.8484848484848485,0.8442211055276382,0.8442211055276382,0.8463476070528967,0.8543689320388349,0.8502415458937198,0.8484848484848485,0.6986582126459334,0.9054007903595648,0.9003025487939621,0.5113993219885171,405,199,206,0.49135802469135803,0.7647058823529411,0.7676136363636363,0.4722222222222222,0.7727272727272727,0.7727272727272727,0.5862068965517241,0.7625,0.9242424242424242,0.4722222222222222,0.4606502919352761,0.825,0.5879223697765816,0.5618474678351328,102,22,80,0.21568627450980393
6,1,0.5197376947776944,0.5720884788494843,0.8074074074074075,0.8069767441860465,0.8215962441314554,0.813953488372093,0.813953488372093,0.8177570093457944,0.8,0.7916666666666666,0.8215962441314554,0.6136081024348772,0.8794124847001225,0.8872179740707457,0.5197376947776944,405,215,190,0.5308641975308642,0.7450980392156863,0.7551136363636364,0.4473684210526316,0.7727272727272727,0.7727272727272727,0.5666666666666667,0.7375,0.921875,0.4473684210526316,0.4340484577742124,0.8278409090909091,0.6048083002948758,0.5720884788494843,102,22,80,0.21568627450980393
7,1,0.46430530910398443,0.5889534549071238,0.8617283950617284,0.861867134913667,0.84688995215311,0.8805970149253731,0.8805970149253731,0.8634146341463415,0.8431372549019608,0.8775510204081632,0.84688995215311,0.7240875349773926,0.9317871427177837,0.927460210374004,0.46430530910398443,405,201,204,0.4962962962962963,0.7549019607843137,0.7613636363636364,0.4594594594594595,0.7727272727272727,0.7727272727272727,0.576271186440678,0.75,0.9230769230769231,0.4594594594594595,0.44717133177586416,0.8284090909090909,0.5961278558467553,0.5889534549071238,102,22,80,0.21568627450980393
8,1,0.4822441666733985,0.5767779040795106,0.8592592592592593,0.858058608058608,0.8461538461538461,0.8904761904761904,0.8904761904761904,0.8677494199535963,0.8256410256410256,0.875,0.8461538461538461,0.7186311186554026,0.9099145299145299,0.9002850703941817,0.4822441666733985,405,210,195,0.5185185185185185,0.7450980392156863,0.7386363636363636,0.4444444444444444,0.7272727272727273,0.7272727272727273,0.5517241379310345,0.75,0.9090909090909091,0.4444444444444444,0.4107709609613927,0.8289772727272726,0.5955591343447311,0.5767779040795106,102,22,80,0.21568627450980393
9,1,0.46135139406896103,0.5727708580402228,0.8444444444444444,0.8439634146341464,0.8227272727272728,0.8829268292682927,0.8829268292682927,0.851764705882353,0.805,0.8702702702702703,0.8227272727272728,0.6904575312392625,0.9293414634146341,0.9200003519633566,0.46135139406896103,405,205,200,0.5061728395061729,0.7745098039215687,0.7573863636363636,0.48484848484848486,0.7272727272727273,0.7272727272727273,0.5818181818181818,0.7875,0.9130434782608695,0.48484848484848486,0.45257477946710833,0.8255681818181817,0.5812797383373929,0.5727708580402228,102,22,80,0.21568627450980393
10,1,0.43901900801004146,0.5915289693153821,0.8839506172839506,0.8821854531234725,0.8666666666666667,0.9198113207547169,0.9198113207547169,0.8924485125858124,0.844559585492228,0.9055555555555556,0.8666666666666667,0.7682865349750897,0.9446915632026591,0.9427401696252173,0.43901900801004146,405,212,193,0.5234567901234568,0.7549019607843137,0.7778409090909091,0.46153846153846156,0.8181818181818182,0.8181818181818182,0.5901639344262295,0.7375,0.9365079365079365,0.46153846153846156,0.4703053754606109,0.8357954545454546,0.5988115496336058,0.5915289693153821,102,22,80,0.21568627450980393
11,1,0.4590270007942237,0.57348050062473,0.8740740740740741,0.8727492314448837,0.8391304347826087,0.9323671497584541,0.9323671497584541,0.8832951945080092,0.8131313131313131,0.92,0.8391304347826087,0.7522835717090169,0.9309276338261846,0.9219628255038447,0.4590270007942237,405,207,198,0.5111111111111111,0.7647058823529411,0.7346590909090909,0.46875,0.6818181818181818,0.6818181818181818,0.5555555555555556,0.7875,0.9,0.46875,0.41600610517810255,0.821590909090909,0.5858650409629439,0.57348050062473,102,22,80,0.21568627450980393
12,1,0.44527636789808084,0.5518717307310838,0.8839506172839506,0.884606938954765,0.8578199052132701,0.9141414141414141,0.9141414141414141,0.8850855745721271,0.855072463768116,0.9123711340206185,0.8578199052132701,0.7697023035045891,0.9377836334358073,0.9318369847004108,0.44527636789808084,405,198,207,0.4888888888888889,0.7941176470588235,0.7534090909090909,0.5172413793103449,0.6818181818181818,0.6818181818181818,0.5882352941176471,0.825,0.9041095890410958,0.5172413793103449,0.46211289928675164,0.8198863636363637,0.5840125385515559,0.5518717307310838,102,22,80,0.21568627450980393
13,1,0.43226008906083946,0.5741620912001684,0.891358024691358,0.8904438029064932,0.8899082568807339,0.9065420560747663,0.9065420560747663,0.8981481481481481,0.8743455497382199,0.893048128342246,0.8899082568807339,0.7819213113304707,0.9406224005480258,0.9327959833876661,0.43226008906083946,405,214,191,0.528395061728395,0.803921568627451,0.7761363636363636,0.5333333333333333,0.7272727272727273,0.7272727272727273,0.6153846153846154,0.825,0.9166666666666666,0.5333333333333333,0.49852053846629757,0.8301136363636363,0.6007859755502274,0.5741620912001684,102,22,80,0.21568627450980393
14,1,0.39228881223528994,0.5826719151093409,0.928395061728395,0.9283397551577818,0.910377358490566,0.9507389162561576,0.9507389162561576,0.9301204819277108,0.905940594059406,0.9481865284974094,0.910377358490566,0.8576211811047378,0.9681022289421062,0.9581625773356509,0.39228881223528994,405,203,202,0.5012345679012346,0.7941176470588235,0.7698863636363636,0.5161290322580645,0.7272727272727273,0.7272727272727273,0.6037735849056604,0.8125,0.9154929577464789,0.5161290322580645,0.4826777172147418,0.8267045454545454,0.5842137630505977,0.5826719151093409,102,22,80,0.21568627450980393
15,1,0.4065153557880252,0.5758491296034592,0.9037037037037037,0.904040404040404,0.8878048780487805,0.9191919191919192,0.9191919191919192,0.9032258064516129,0.8888888888888888,0.92,0.8878048780487805,0.8079428312852817,0.9642804860196165,0.9584112652445864,0.4065153557880252,405,198,207,0.4888888888888889,0.7843137254901961,0.7471590909090908,0.5,0.6818181818181818,0.6818181818181818,0.5769230769230769,0.8125,0.9027777777777778,0.5,0.44620665480008115,0.821590909090909,0.5853208667383466,0.5758491296034592,102,22,80,0.21568627450980393
16,1,0.4265058475966547,0.5520674425822037,0.891358024691358,0.8922924901185771,0.8564814814814815,0.9343434343434344,0.9343434343434344,0.893719806763285,0.8502415458937198,0.9312169312169312,0.8564814814814815,0.7861401551630738,0.9480066364124335,0.9228936364410197,0.4265058475966547,405,198,207,0.4888888888888889,0.803921568627451,0.7596590909090909,0.5357142857142857,0.6818181818181818,0.6818181818181818,0.6,0.8375,0.9054054054054054,0.5357142857142857,0.4786245668125237,0.8306818181818182,0.5821232296782726,0.5520674425822037,102,22,80,0.21568627450980393
