epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,1,0.07280458874172635,0.07892822010406092,0.49876543209876545,0.5142857142857142,0.489247311827957,0.9333333333333333,0.9333333333333333,0.6419753086419753,0.02767429483767958,0.09523809523809523,0.6060606060606061,0.489247311827957,0.052183171312643106,0.580976800976801,0.59154804170945,0.07280458874172635,405,195,210,0.48148148148148145,0.21568627450980393,0.5,0.21568627450980393,1.0,1.0,0.3548387096774194,0.0,0.0,0.0,0.21568627450980393,0.0,0.6988636363636364,0.48454094438558765,0.07892822010406092,102,22,80,0.21568627450980393
2,1,0.06620676083329283,0.06372713220908362,0.49382716049382713,0.5024271844660194,0.49257425742574257,1.0,1.0,0.6600331674958541,0.004770866547594732,0.0048543689320388345,1.0,0.49257425742574257,0.04889925533144267,0.7205932575498852,0.7293169458806857,0.06620676083329283,405,199,206,0.49135802469135803,0.3137254901960784,0.5625,0.2391304347826087,1.0,1.0,0.38596491228070173,0.05804749340369397,0.125,1.0,0.2391304347826087,0.17289101870203116,0.7823863636363636,0.5235742576486716,0.06372713220908362,102,22,80,0.21568627450980393
3,1,0.06071738219693487,0.05923603433093019,0.5925925925925926,0.6080628604946721,0.5419161676646707,0.9378238341968912,0.9378238341968912,0.6869070208728653,0.20927453230940363,0.2783018867924528,0.8309859154929577,0.5419161676646707,0.2838903513345791,0.7864160719522925,0.7515423619476883,0.06071738219693487,405,193,212,0.4765432098765432,0.5686274509803921,0.6920454545454545,0.3225806451612903,0.9090909090909091,0.9090909090909091,0.47619047619047616,0.23150684931506849,0.475,0.95,0.3225806451612903,0.3235672230010118,0.7789772727272727,0.528707615300438,0.05923603433093019,102,22,80,0.21568627450980393
4,1,0.0548481614863569,0.06504370501337975,0.6814814814814815,0.6489492896606157,0.6426426426426426,0.9553571428571429,0.9553571428571429,0.7684021543985637,0.31617387206973735,0.3425414364640884,0.8611111111111112,0.6426426426426426,0.3873855025307228,0.8182221783741122,0.8319406510839671,0.0548481614863569,405,224,181,0.5530864197530864,0.46078431372549017,0.6397727272727273,0.28,0.9545454545454546,0.9545454545454546,0.4329896907216495,0.14922656960873515,0.325,0.9629629629629629,0.28,0.26061310772712853,0.7920454545454546,0.5537129150020973,0.06504370501337975,102,22,80,0.21568627450980393
5,1,0.052385504463296616,0.05936784246552955,0.6864197530864198,0.7013888888888888,0.6076388888888888,0.9259259259259259,0.9259259259259259,0.7337526205450734,0.3900096061479347,0.47685185185185186,0.8803418803418803,0.6076388888888888,0.44333712886364457,0.8619684499314129,0.8393201494128951,0.052385504463296616,405,189,216,0.4666666666666667,0.5784313725490197,0.6982954545454545,0.32786885245901637,0.9090909090909091,0.9090909090909091,0.4819277108433735,0.2414389484607402,0.4875,0.9512195121951219,0.32786885245901637,0.33269191191683617,0.7840909090909092,0.5299954518214905,0.05936784246552955,102,22,80,0.21568627450980393
6,1,0.04506576182809371,0.0631443030422316,0.7580246913580246,0.7526112846544318,0.6923076923076923,0.9519230769230769,0.9519230769230769,0.8016194331983806,0.510567982834735,0.5532994923857868,0.9159663865546218,0.6923076923076923,0.5543589026675776,0.9003074970714565,0.9126529586115205,0.04506576182809371,405,208,197,0.5135802469135803,0.5686274509803921,0.6920454545454545,0.3225806451612903,0.9090909090909091,0.9090909090909091,0.47619047619047616,0.23150684931506849,0.475,0.95,0.3225806451612903,0.3235672230010118,0.7982954545454545,0.5707598278545419,0.0631443030422316,102,22,80,0.21568627450980393
7,1,0.04539657202851096,0.05810073551415995,0.7703703703703704,0.7769213856451849,0.6934865900383141,0.9329896907216495,0.9329896907216495,0.7956043956043956,0.5462430879323431,0.6208530805687204,0.9097222222222222,0.6934865900383141,0.5779989967544475,0.8966384912297846,0.884133019070306,0.04539657202851096,405,194,211,0.47901234567901235,0.6470588235294118,0.6926136363636364,0.3541666666666667,0.7727272727272727,0.7727272727272727,0.4857142857142857,0.2696897374701671,0.6125,0.9074074074074074,0.3541666666666667,0.3174357685764432,0.7863636363636364,0.569006978278956,0.05810073551415995,102,22,80,0.21568627450980393
8,1,0.046902705404625766,0.056589013689161076,0.7753086419753087,0.7756669755645516,0.7126436781609196,0.9207920792079208,0.9207920792079208,0.8034557235421166,0.5509376028073254,0.6305418719211823,0.8888888888888888,0.7126436781609196,0.5758865573395536,0.8828220260449691,0.8871013834059288,0.046902705404625766,405,202,203,0.49876543209876545,0.6274509803921569,0.696590909090909,0.34615384615384615,0.8181818181818182,0.8181818181818182,0.4864864864864865,0.2631178707224334,0.575,0.92,0.34615384615384615,0.3234916585429262,0.7914772727272728,0.5494520027137872,0.056589013689161076,102,22,80,0.21568627450980393
9,1,0.04454657647321805,0.06348968835435716,0.7802469135802469,0.7855694532662334,0.7108433734939759,0.9123711340206185,0.9123711340206185,0.7990970654627539,0.564689685156335,0.6587677725118484,0.8910256410256411,0.7108433734939759,0.5863026614543955,0.8982752723897005,0.8900631960094924,0.04454657647321805,405,194,211,0.47901234567901235,0.5980392156862745,0.7272727272727273,0.3442622950819672,0.9545454545454546,0.9545454545454546,0.5060240963855421,0.2767208578346593,0.5,0.975609756097561,0.3442622950819672,0.3813087815665744,0.7994318181818182,0.5526781584516934,0.06348968835435716,102,22,80,0.21568627450980393
10,1,0.04406669669027187,0.05909106590187031,0.7703703703703704,0.7536518788117254,0.7237762237762237,0.9366515837104072,0.9366515837104072,0.8165680473372781,0.5227626927511626,0.5706521739130435,0.8823529411764706,0.7237762237762237,0.5545192539359353,0.893197914617352,0.9093409933073574,0.04406669669027187,405,221,184,0.5456790123456791,0.6078431372549019,0.7005681818181818,0.3392857142857143,0.8636363636363636,0.8636363636363636,0.48717948717948717,0.25710123816460306,0.5375,0.9347826086956522,0.3392857142857143,0.3315701591950967,0.8,0.5735894793338068,0.05909106590187031,102,22,80,0.21568627450980393
